"age","years_exp","search_rank","pandascore_id","birth_country","college","espn_id","birth_date","injury_notes","search_first_name","player_id","hashtag","stats_id","news_updated","active","sport","fantasy_data_id","competitions","practice_description","yahoo_id","last_name","opta_id","birth_state","gsis_id","status","depth_chart_order","height","injury_start_date","fantasy_positions","search_full_name","high_school","sportradar_id","kalshi_id","practice_participation","team_abbr","team","oddsjam_id","rotoworld_id","birth_city","metadata","first_name","injury_status","swish_id","depth_chart_position","team_changed_at","position","search_last_name","number","full_name","weight","injury_body_part","rotowire_id","dupes"
NA,3,NA,NA,"MEX","",40810,"1998-05-23","","jonathan","1875","#jonathanaranda-MLB-TB-62",NA,1759015825533,"True","mlb",NA,"[]",NA,NA,"Aranda",NA,"",NA,"A",NA,72,NA,"","jonathanaranda","","ec551b49-c8ec-4333-8765-f277f8e3291a",NA,NA,NA,"TB","A10796503856",NA,"Tijuana","{'bat_hand': 'L', 'channel_id': '1157161524503019520', 'full_name': 'Jonathan Aranda', 'pro_debut': '2022-06-24', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T18:11:59+00:00'}","Jonathan","",666018,NA,NA,"1B","aranda",62,"Jonathan Aranda",215,"",17580,1
NA,NA,NA,NA,"DOM","",41528,"","","anderson","1408","#andersonseverino-MLB-CWS-62",NA,NA,"False","mlb",NA,"[]",NA,NA,"Severino",NA,"",NA,"MIN",NA,70,NA,"","andersonseverino","","16298b61-4379-49ca-928f-b36d89d7df9f",NA,NA,NA,"CWS","",NA,"Santo Domingo","{'bat_hand': 'L', 'full_name': 'Anderson Severino', 'pro_debut': '2022-04-14', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-05-02T14:47:05+00:00'}","Anderson","",644429,NA,NA,"RP","severino",62,"Anderson Severino",190,"",NA,1
NA,11,NA,NA,"USA","Hawaii",32061,"1990-10-10","","kolten","2091","#koltenwong-MLB-LAD-25",NA,1747609832805,"True","mlb",NA,"[]",NA,NA,"Wong",NA,"HI",NA,"A",NA,67,NA,"","koltenwong","Kamehameha (HI)","343e48ee-be0e-4f0d-a801-dc8cbbce75b4",NA,NA,NA,"LAD","265D68E51C3B",NA,"Hilo","{'bat_hand': 'L', 'full_name': 'Kolten Wong', 'pro_debut': '2013-08-16', 'rookie_year': '2013', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-09-01T21:32:02+00:00'}","Kolten","",543939,NA,NA,"2B","wong",25,"Kolten Wong",185,"",12143,1
NA,4,NA,NA,"USA","Aquinas (MI)",42639,"1992-02-05","Inflammation","kaleb","2508","#kalebort-MLB-HOU-63",NA,1758313523050,"True","mlb",NA,"[]",NA,NA,"Ort",NA,"MI",NA,"D60",NA,76,NA,"","kalebort","Lowell (MI)","2dcec70b-f79e-48f4-9641-0ef1e15cf81e",NA,NA,NA,"HOU","51421B35811E",NA,"Grand Rapids","{'bat_hand': 'R', 'channel_id': '1157161659547025408', 'full_name': 'Kaleb Ort', 'pro_debut': '2021-09-13', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-19T20:08:38+00:00'}","Kaleb","IL60",672391,NA,NA,"RP","ort",63,"Kaleb Ort",248,"Elbow",17663,1
NA,NA,NA,NA,"USA","Vanderbilt",28958,"","","david","2199","#davidprice-MLB-LAD-33",NA,NA,"True","mlb",NA,"[]",NA,NA,"Price",NA,"TN",NA,"A",NA,77,NA,"","davidprice","Blackman (TN)","875b903a-aabd-424e-b70e-1aa46a7334bc",NA,NA,NA,"LAD","",NA,"Murfreesboro","{'bat_hand': 'L', 'full_name': 'David Price', 'pro_debut': '2008-09-14', 'rookie_year': '2008', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-10-20T18:47:30+00:00'}","David","",456034,NA,NA,"RP","price",33,"David Price",215,"",NA,1
NA,2,NA,NA,"USA","Manhattan",42654,"1995-03-11","","joe","2881","#joejacques-MLB-SEA-71",NA,1757110835877,"True","mlb",NA,"[]",NA,NA,"Jacques",NA,"NJ",NA,"MIN",NA,76,NA,"","joejacques","Red Bank Regional (NJ)","5379bbde-226a-44da-9427-fcb4c7865f4c",NA,NA,NA,"SEA","736FB943E0F6",NA,"Shrewsbury","{'bat_hand': 'L', 'channel_id': '1246203019167539200', 'full_name': 'Joe Jacques', 'pro_debut': '2023-06-12', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-07-03T21:24:11+00:00'}","Joe","",682175,NA,NA,"RP","jacques",71,"Joe Jacques",210,"",18828,1
NA,10,NA,NA,"USA","Oklahoma",33203,"1991-11-05","Pinched Nerve","jon","2064","#jongray-MLB-TEX-22",NA,1757108435630,"True","mlb",NA,"[]",NA,NA,"Gray",NA,"OK",NA,"D60",NA,76,NA,"","jongray","Chandler (OK)","106c933c-0203-4e5a-bd06-f8bc420b9b9f",NA,NA,NA,"TEX","1F51B63A28A0",NA,"Shawnee","{'bat_hand': 'R', 'channel_id': '1157161613816528896', 'full_name': 'Jon Gray', 'pro_debut': '2015-08-04', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-05T21:34:52+00:00'}","Jon","IL60",592351,NA,NA,"SP","gray",22,"Jon Gray",225,"Shoulder",12937,1
NA,NA,NA,NA,"USA","UConn",33256,"","","scott","1284","#scottoberg-MLB-COL-45",NA,NA,"False","mlb",NA,"[]",NA,NA,"Oberg",NA,"MA",NA,"D60",NA,74,NA,"","scottoberg","Tewksbury Memorial (MA)","bb4708a5-8b4c-4ee9-be76-1ee4857ca834",NA,NA,NA,"COL","",NA,"Tewksbury","{'bat_hand': 'R', 'full_name': 'Scott Oberg', 'pro_debut': '2015-04-14', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2022-09-05T14:51:07+00:00'}","Scott","",NA,NA,NA,"RP","oberg",45,"Scott Oberg",207,"",NA,1
NA,2,NA,NA,"USA","Houston",41526,"1996-02-27","","corey","2801","#coreyjulks-MLB-CWS-32",NA,1758654959858,"True","mlb",NA,"[]",NA,NA,"Julks",NA,"TX",NA,"A",NA,71,NA,"","coreyjulks","Clear Brook (TX)","8a9fc50a-3f22-48ae-ba60-e55da7b31a86",NA,NA,NA,"CWS","6751DCA75FC4",NA,"Friendswood","{'bat_hand': 'R', 'channel_id': '1157161283280207872', 'full_name': 'Corey Julks', 'pro_debut': '2023-03-31', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-24T05:36:08+00:00'}","Corey","",667452,NA,NA,"LF","julks",32,"Corey Julks",217,"",17790,1
NA,0,NA,NA,"VEN","",5015039,"2000-10-21","","luis","3374","#luiscurvelo-MLB-TEX-57",NA,1758928519329,"True","mlb",NA,"[]",NA,NA,"Curvelo",NA,"",NA,"A",NA,73,NA,"","luiscurvelo","","0815929e-b754-4cb0-85c5-01a00eeccaa2",NA,NA,NA,"TEX","",NA,"Higuerote","{'bat_hand': 'R', 'channel_id': '1199824311079161856', 'full_name': 'Luis Curvelo', 'pro_debut': '2025-07-31', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T22:51:40+00:00'}","Luis","",NA,NA,NA,"SP","curvelo",57,"Luis Curvelo",170,"",19922,1
