"birth_country","birth_date","gsis_id","injury_notes","practice_description","search_full_name","oddsjam_id","sportradar_id","injury_body_part","team","kalshi_id","depth_chart_order","news_updated","opta_id","active","birth_city","competitions","fantasy_data_id","high_school","injury_start_date","swish_id","search_first_name","status","rotowire_id","hashtag","pandascore_id","depth_chart_position","weight","stats_id","full_name","practice_participation","birth_state","height","first_name","rotoworld_id","college","yahoo_id","search_rank","fantasy_positions","metadata","last_name","sport","team_changed_at","injury_status","team_abbr","position","player_id","espn_id","age","number","search_last_name","years_exp","dupes"
NA,"1996-04-09",NA,"",NA,"tylerlydon","","f9b41748-5ab8-4ff7-9fc8-ecfec9f12d4b","","",NA,NA,NA,NA,"False",NA,"[]",NA,"New Hampton (NH)",NA,NA,"tyler","RET",NA,"#tylerlydon-NBA-FA",NA,"",225,NA,"Tyler Lydon",NA,NA,82,"Tyler",NA,"Syracuse",NA,NA,"['PF', 'SF']","{'channel_id': '1153292335149240320'}","Lydon","nba",NA,"",NA,"PF","1875",NA,29,NA,"lydon",2,1
NA,"1986-09-15",NA,"",NA,"diontechristmas","","11612dd6-431c-486d-88aa-789f3adf8149","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Samuel Fels (PA)",NA,NA,"dionte","FA",NA,"#diontechristmas-NBA-FA",NA,"",205,NA,"Dionte Christmas",NA,NA,77,"Dionte",NA,"Temple",NA,NA,"['PG', 'SG']","{'channel_id': '1153292564640583680'}","Christmas","nba",NA,"",NA,"SG","1408",NA,39,NA,"christmas",1,1
NA,"1996-03-03",NA,"",NA,"cameronjohnson","C9AF28084D8F","2fe5b749-7bd4-4dbc-acfb-6d675f541e37","","DEN",NA,1,1756236006460,NA,"True",NA,"[]",20002289,"Our Lady of the Sacred Heart (PA)",NA,843005,"cameron","ACT",4916,"#cameronjohnson-NBA-DEN-23",NA,"SF",210,NA,"Cameron Johnson",NA,NA,80,"Cameron",NA,"North Carolina",NA,82,"['PF', 'SF']","{'channel_id': '1113936501550350336'}","Johnson","nba",NA,"",NA,"PF","2091",3138196,29,23,"johnson",6,1
NA,"2000-03-05",NA,"",NA,"gabebrown","","b1275a1f-6ede-44f7-b1a1-091399a6ff5a","","",NA,NA,1668158495240,NA,"True",NA,"[]",NA,"Belleville (MI)",NA,1133816,"gabe","FA",5748,"#gabebrown-NBA-FA",NA,"",215,NA,"Gabe Brown",NA,NA,80,"Gabe",NA,"Michigan State",NA,NA,"['PF', 'SF']","{'channel_id': '1114318987795124224'}","Brown","nba",NA,"",NA,"PF","2508",NA,25,NA,"brown",1,1
NA,"1993-02-07",NA,"",NA,"gregwhittington","","d0cb08b3-51b4-4700-9311-4e111df81d49","","",NA,NA,1617894045420,NA,"True",NA,"[]",NA,"Oakland Mills (MD)",NA,NA,"greg","FA",3810,"#gregwhittington-NBA-FA",NA,"",210,NA,"Greg Whittington",NA,NA,80,"Greg",NA,"Georgetown",NA,NA,"['PF', 'SF']","{'channel_id': '1153292679090556928'}","Whittington","nba",NA,"",NA,"PF","2199",NA,32,NA,"whittington",1,1
NA,"1998-03-12",NA,"",NA,"carsenedwards","","d1340a44-b873-425e-a1c6-2545a0ef8398","","",NA,NA,1657738242906,NA,"True",NA,"[]",NA,"Atascocita (TX)",NA,945110,"carsen","FA",4764,"#carsenedwards-NBA-FA",NA,"",200,NA,"Carsen Edwards",NA,NA,71,"Carsen",NA,"Purdue",NA,NA,"['PG', 'SG']","{'channel_id': '1153292307227758592'}","Edwards","nba",NA,"",NA,"SG","2064",NA,27,NA,"edwards",3,1
NA,"1990-11-26",NA,"",NA,"averybradley","","b23917d2-bb0d-49fa-a384-80d994561d0c","","",NA,NA,1648865720916,NA,"False",NA,"[]",NA,"Findlay Prep (NV)",NA,513607,"avery","RET",3112,"#averybradley-NBA-FA",NA,"",180,NA,"Avery Bradley",NA,NA,75,"Avery",NA,"Texas",NA,NA,"['SF', 'SG']","{'channel_id': '1153292352975032320'}","Bradley","nba",NA,"",NA,"SG","1284",NA,34,NA,"bradley",12,1
NA,"",NA,"",NA,"seaneast","","5ec0b4b3-dd56-434f-9f08-81e40518b327","","",NA,NA,NA,NA,"True",NA,"[]",NA,"",NA,NA,"sean","FA",6347,"#seaneast-NBA-FA",NA,"",180,NA,"Sean East",NA,NA,75,"Sean",NA,"Missouri",NA,NA,"['PG', 'SG']","{'channel_id': '1114062286198149120'}","East","nba",NA,"",NA,"PG","2801",NA,NA,NA,"east",0,1
NA,"1984-04-17",NA,"",NA,"cjwatson","","7671f7d9-b7f8-4602-a32d-19f4f1ddae75","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Bishop Gorman (NV)",NA,NA,"cj","FA",NA,"#cjwatson-NBA-FA",NA,"",175,NA,"C.J. Watson",NA,NA,74,"C.J.",NA,"Tennessee",NA,NA,"['PG', 'SG']","{'channel_id': '1153292613843963904'}","Watson","nba",NA,"",NA,"PG","1073",NA,41,NA,"watson",10,1
NA,"1999-01-18",NA,"",NA,"garytrent","E742754A7BD0","62daf16f-0c4c-46ae-9e54-0d34d6fdef85","","MIL",NA,1,1756704041507,NA,"True",NA,"[]",20002027,"Prolific Prep (CA)",NA,1060908,"gary","ACT",4433,"#garytrent-NBA-MIL-5",NA,"SG",204,NA,"Gary Trent",NA,NA,77,"Gary",NA,"Duke",NA,179,"['SF', 'SG']","{'channel_id': '1119029907645558784'}","Trent","nba",NA,"",NA,"SG","1982",NA,26,5,"trent",7,1
NA,"2002-01-21",NA,"",NA,"moussadiabate","9B215D378490","78dc76b4-a810-4e4a-9418-5cf3fa03582f","","CHA",NA,2,1756484424153,NA,"True",NA,"[]",20002903,"IMG Academy (FL)",NA,1324359,"moussa","ACT",5708,"#moussadiabate-NBA-CHA-14",NA,"C",210,NA,"Moussa Diabaté",NA,NA,81,"Moussa",NA,"Michigan",NA,266,"['C', 'PF']","{'channel_id': '1124473342351384576'}","Diabaté","nba",NA,"",NA,"C","2474",NA,23,14,"diabate",3,1
NA,"1997-06-10",NA,"",NA,"svimykhailiuk","D44ED022E7C7","8c0929ae-ce3d-47e0-a964-bf6b8d3981ab","","UTA",NA,4,1744670739893,NA,"True",NA,"[]",20002035,"Cherkasy First City Gymnasia (UKR)",NA,843265,"svi","ACT",4457,"#svimykhailiuk-NBA-UTA-19",NA,"SF",205,NA,"Svi Mykhailiuk",NA,NA,79,"Svi",NA,"Kansas",NA,NA,"['PF', 'SF', 'SG']","{'channel_id': '1121491264278130688'}","Mykhailiuk","nba",NA,"",NA,"SF","1907",3133602,28,19,"mykhailiuk",7,1
