"age","years_exp","stats_id","birth_country","competitions","college","full_name","birth_date","practice_participation","depth_chart_position","rotoworld_id","pandascore_id","rotowire_id","active","fantasy_data_id","team","birth_state","weight","opta_id","search_rank","fantasy_positions","status","injury_body_part","sport","injury_notes","high_school","sportradar_id","team_changed_at","first_name","yahoo_id","gsis_id","kalshi_id","birth_city","swish_id","metadata","last_name","hashtag","search_first_name","depth_chart_order","injury_status","position","news_updated","player_id","practice_description","oddsjam_id","team_abbr","search_last_name","height","number","search_full_name","injury_start_date","espn_id","dupes"
NA,11,NA,NA,"[]","","Scott Harrington",NA,NA,NA,NA,NA,NA,"True",NA,"OTT",NA,204,NA,NA,"","ACT",NA,"nhl",NA,NA,"4f6c1c49-e87b-465e-9808-4d4b355c7e31",NA,"Scott",NA,NA,NA,NA,8476449,"{'birth_date': '1993-03-10', 'birth_place': 'Kingston, ON, CAN', 'channel_id': '1279255835461050368', 'college': '', 'draft_pick': '54', 'draft_round': '2', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2014'}","Harrington","#scottharrington-NHL-OTT","scott",NA,NA,"D",NA,"1875",NA,NA,NA,"harrington",74,NA,"scottharrington",NA,2563045,1
NA,NA,NA,NA,"[]","","Tim Berni",NA,NA,NA,NA,NA,NA,"True",NA,"CBJ",NA,181,NA,NA,"","ACT",NA,"nhl",NA,NA,"b49d41cd-4e19-4876-ab9e-19b81b5511b8",NA,"Tim",NA,NA,NA,NA,9014612,"{'birth_date': '2000-02-11', 'birth_place': 'Mannedorf,, CHE', 'college': '', 'draft_pick': '159', 'draft_round': '6', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}","Berni","#timberni-NHL-CBJ-75","tim",NA,NA,"D",NA,"1408",NA,NA,NA,"berni",72,75,"timberni",NA,NA,1
NA,NA,NA,NA,"[]","","Marcel Marcel",NA,NA,NA,NA,NA,NA,"True",NA,"CHI",NA,242,NA,NA,"","ACT",NA,"nhl",NA,NA,"efe14379-f115-41f1-8789-ccca0b601c89",NA,"Marcel",NA,NA,NA,NA,9015427,"{'birth_date': '2003-10-31', 'birth_place': 'Pilsen,, CZE', 'college': '', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Marcel","#marcelmarcel-NHL-CHI-53","marcel",NA,NA,"LW",NA,"2091",NA,NA,NA,"marcel",76,53,"marcelmarcel",NA,5173766,1
NA,NA,NA,NA,"[]","","Noel Gunler",NA,NA,NA,NA,NA,NA,"True",NA,"CAR",NA,174,NA,NA,"","ACT",NA,"nhl",NA,NA,"c6e4ac0f-9e2f-48ff-88af-6c3bb4761ebe",NA,"Noel",NA,NA,NA,NA,9013580,"{'birth_date': '2001-10-07', 'birth_place': 'Lulea,, SWE', 'channel_id': '1274303083614048256', 'college': '', 'draft_pick': '41', 'draft_round': '2', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}","Gunler","#noelgunler-NHL-CAR-38","noel",NA,NA,"RW",NA,"2508",NA,NA,NA,"gunler",74,38,"noelgunler",NA,4697445,1
NA,5,NA,NA,"[]","St. Cloud State","Jack Ahcan",NA,NA,NA,NA,NA,NA,"True",NA,"COL",NA,180,NA,NA,"","ACT",NA,"nhl",NA,NA,"9e13b491-909a-40da-9274-4c75908f8d53",NA,"Jack",NA,NA,NA,NA,9013469,"{'birth_date': '1997-05-18', 'birth_place': 'Savage, MN, USA', 'channel_id': '1216502258838024192', 'college': 'St. Cloud State', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}","Ahcan","#jackahcan-NHL-COL-15","jack",NA,NA,"D",NA,"2199",NA,NA,NA,"ahcan",68,15,"jackahcan",NA,4316979,1
NA,NA,NA,NA,"[]","","Calle Odelius",NA,NA,NA,NA,NA,NA,"True",NA,"NYI",NA,185,NA,NA,"","ACT",NA,"nhl",NA,NA,"57a187cc-149d-4f23-a1e0-4d9463cae7d7",NA,"Calle",NA,NA,NA,NA,9014812,"{'birth_date': '2004-05-30', 'birth_place': 'Nykvarn,, SWE', 'channel_id': '1274182248429518848', 'college': '', 'draft_pick': '65', 'draft_round': '2', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}","Odelius","#calleodelius-NHL-NYI-39","calle",NA,NA,"D",NA,"2881",NA,NA,NA,"odelius",71,39,"calleodelius",NA,5080233,1
NA,NA,NA,NA,"[]","","Yegor Sidorov",NA,NA,NA,NA,NA,NA,"True",NA,"ANA",NA,182,NA,NA,"","ACT",NA,"nhl",NA,NA,"c20528f7-dd26-4639-90e3-4e4b1ae5bc76",NA,"Yegor",NA,NA,NA,NA,9015364,"{'birth_date': '2004-06-18', 'birth_place': 'Vitebsk,, BLR', 'channel_id': '1273880368897871872', 'college': '', 'draft_pick': '85', 'draft_round': '3', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Sidorov","#yegorsidorov-NHL-ANA-57","yegor",NA,NA,"RW",NA,"2064",NA,NA,NA,"sidorov",72,57,"yegorsidorov",NA,5172808,1
NA,13,NA,NA,"[]","","Jonas Brodin",NA,NA,NA,NA,NA,NA,"True",NA,"MIN",NA,196,NA,NA,"","ACT",NA,"nhl",NA,NA,"03057f04-674c-11e2-9e6b-f4ce4684ea4c",NA,"Jonas",NA,NA,NA,NA,8476463,"{'birth_date': '1993-07-12', 'birth_place': 'Karlstad,, SWE', 'channel_id': '1157131025961209856', 'college': '', 'draft_pick': '10', 'draft_round': '1', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2012'}","Brodin","#jonasbrodin-NHL-MIN-25","jonas",NA,NA,"D",NA,"1284",NA,NA,NA,"brodin",74,25,"jonasbrodin",NA,2562600,1
NA,NA,NA,NA,"[]","","Timur Ibragimov",NA,NA,NA,NA,NA,NA,"True",NA,"NJ",NA,183,NA,NA,"","ACT",NA,"nhl",NA,NA,"0d47132f-2783-4119-beb3-0fa76b51d7e5",NA,"Timur",NA,NA,NA,NA,NA,"{'birth_date': '2000-10-12', 'birth_place': 'St. Petersburg,, RUS', 'college': '', 'draft_pick': '164', 'draft_round': '6', 'draft_year': '2019', 'high_school': '', 'rookie_year': ''}","Ibragimov","#timuribragimov-NHL-NJ-83","timur",NA,NA,"LW",NA,"2801",NA,NA,NA,"ibragimov",71,83,"timuribragimov",NA,NA,1
NA,7,NA,NA,"[]","","Carl Grundstrom",NA,NA,NA,NA,NA,NA,"True",NA,"SJ",NA,200,NA,NA,"","ACT",NA,"nhl",NA,NA,"5b0377bd-412a-44aa-8b8d-8e8eabeb290e",NA,"Carl",NA,NA,NA,NA,9000944,"{'birth_date': '1997-12-01', 'birth_place': 'Umea,, SWE', 'channel_id': '1157130941123022848', 'college': '', 'draft_pick': '57', 'draft_round': '2', 'draft_year': '2016', 'high_school': '', 'rookie_year': '2018'}","Grundstrom","#carlgrundstrom-NHL-SJ-91","carl",NA,NA,"RW",NA,"1073",NA,NA,NA,"grundstrom",72,91,"carlgrundstrom",NA,4271565,1
