id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,collegeId,is_latest
4017837,nba,Ivica Zubac,Ivica,Zubac,C,40,True,240.0,84.0,28.0,1997-03-18T08:00Z,9.0,Mostar,,Bosnia & Herzegovina,2016.0,,,2016,2,32,LAL,LAC,2025-10-11T21:32:22.666253,,1
4397077,nba,Jaxson Hayes,Jaxson,Hayes,C,11,True,220.0,84.0,25.0,2000-05-23T07:00Z,6.0,Norman,OK,USA,2019.0,Texas,collegeAthlete,2019,1,8,ATL,LAL,2025-10-11T21:32:22.666253,251,1
2596112,nba,Javonte Green,Javonte,Green,G,31,True,205.0,77.0,32.0,1993-07-23T07:00Z,6.0,Petersburg,VA,USA,2019.0,Radford,collegeAthlete,,,,,DET,2025-10-11T21:32:22.666253,2515,1
4437244,nba,Jalen Green,Jalen,Green,SG,4,True,186.0,76.0,23.0,2002-02-09T08:00Z,4.0,Merced,CA,USA,,,,2021,1,2,HOU,PHX,2025-10-11T21:32:22.666253,,1
4397475,nba,AJ Green,AJ,Green,G,20,True,190.0,76.0,26.0,1999-09-27T07:00Z,3.0,Cedar Falls,IA,USA,,Northern Iowa,collegeAthlete,,,,,MIL,2025-10-11T21:32:22.666253,2460,1
5176420,nba,Hayden Gray,Hayden,Gray,G,,False,190.0,76.0,22.0,2003-05-11T07:00Z,,San Diego,CA,USA,,UC San Diego,collegeAthlete,,,,,BOS,2025-10-11T21:32:22.666253,28,1
2991070,nba,Jerami Grant,Jerami,Grant,SF,9,True,210.0,79.0,31.0,1994-03-12T08:00Z,11.0,Portland,OR,USA,2014.0,Syracuse,collegeAthlete,2014,2,39,PHI,POR,2025-10-11T21:32:22.666253,183,1
4708972,nba,Jazian Gortman,Jazian,Gortman,G,14,True,175.0,73.0,22.0,2003-03-14T08:00Z,1.0,,,,,,,,,,,OKC,2025-10-11T21:32:22.666253,,1
3431,nba,Eric Gordon,Eric,Gordon,SG,23,True,215.0,75.0,36.0,1988-12-25T08:00Z,17.0,Indianapolis,IN,USA,2008.0,Indiana,collegeAthlete,2008,1,7,LAC,PHI,2025-10-11T21:32:22.666253,84,1
3064290,nba,Aaron Gordon,Aaron,Gordon,PF,32,True,235.0,80.0,30.0,1995-09-16T07:00Z,11.0,San Jose,CA,USA,2014.0,Arizona,collegeAthlete,2014,1,4,ORL,DEN,2025-10-11T21:32:22.666253,12,1
