id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,collegeId,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,is_latest
3042264,nhl,Tyler Lewington,Tyler,Lewington,D,55,False,200.0,74.0,30.0,1994-12-05T08:00Z,,Edmonton,AB,CAN,2018.0,,,,2013,7,204,WSH,BOS,2025-10-11T22:13:50.013680,1
5067878,nhl,Topi Niemela,Topi,Niemela,D,47,False,156.0,71.0,23.0,2002-03-25T08:00Z,,Asikkala,,FIN,,,,,,,,,TOR,2025-10-11T22:13:50.013680,1
3988832,nhl,John Stevens,John,Stevens,C,54,False,193.0,74.0,31.0,1994-04-17T07:00Z,,Springfield,MA,USA,,Northeastern,111,direct,,,,,VAN,2025-10-11T22:13:50.013680,1
4063250,nhl,Carsen Twarynski,Carsen,Twarynski,LW,18,False,198.0,74.0,27.0,1997-11-24T08:00Z,,Calgary,AB,CAN,2019.0,,,,2016,3,82,PHI,VAN,2025-10-11T22:13:50.013680,1
4587593,nhl,Layton Ahac,Layton,Ahac,D,44,False,188.0,74.0,24.0,2001-02-22T08:00Z,,,,,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
4587926,nhl,Nathan Smith,Nathan,Smith,C,13,False,185.0,73.0,26.0,1998-10-19T07:00Z,,Hudson,FL,USA,,Minnesota State,2364,direct,,,,,VAN,2025-10-11T22:13:50.013680,1
4755752,nhl,Akito Hirose,Akito,Hirose,D,41,False,167.0,73.0,26.0,1999-04-09T07:00Z,,Calgary,AB,CAN,,Minnesota State,2364,direct,,,,,VAN,2025-10-11T22:13:50.013680,1
4996094,nhl,Ty Glover,Ty,Glover,C,51,False,200.0,75.0,25.0,2000-10-01T07:00Z,,Manchester,,ENG,,Western Michigan,2711,direct,,,,,VAN,2025-10-11T22:13:50.013680,1
5103651,nhl,Jonathan Lemieux,Jonathan,Lemieux,G,0,False,193.0,73.0,24.0,2001-06-08T07:00Z,,Saint-Hyacinthe,QC,CAN,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
5188557,nhl,Hugo Gabrielson,Hugo,Gabrielson,C,,False,,,,,,,,,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
5188579,nhl,Lucas Forsell,Lucas,Forsell,C,,False,,,,,,,,,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
5229175,nhl,Christian Felton,Christian,Felton,D,,False,185.0,73.0,25.0,2000-02-04T08:00Z,,Medina,OH,USA,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
5287481,nhl,Anri Ravinskis,Anri,Ravinskis,RW,,False,186.0,74.0,22.0,2003-01-02T08:00Z,,Riga,,LAT,,,,,,,,,VAN,2025-10-11T22:13:50.013680,1
