uuid,id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,collegeId,is_latest
5333552_mlb,5333552,mlb,Victor Estevez,Victor,Estevez,UN,,True,,,,,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
5137938_mlb,5137938,mlb,Cody Bowker,Cody,Bowker,SP,,False,212.0,73.0,22.0,2003-12-18T08:00Z,,Milford,MA,United States,,Vanderbilt,direct,,,,,PHI,2026-01-31T10:10:31.396577,238,1
5134974_mlb,5134974,mlb,Adonys Guzman,Adonys,Guzman,C,,False,221.0,71.0,22.0,2003-12-04T08:00Z,,Bronx,NY,United States,,Arizona,direct,,,,,BOS,2026-01-31T10:10:31.396577,12,1
5135107_mlb,5135107,mlb,Jake Cook,Jake,Cook,OF,2,False,185.0,75.0,22.0,2003-07-13T07:00Z,2.0,Madison,MS,United States,,Southern Miss,direct,,,,,TOR,2026-01-31T10:10:31.396577,2572,1
5135116_mlb,5135116,mlb,Nick Monistere,Nick,Monistere,SS,8,False,192.0,72.0,22.0,2004-01-27T08:00Z,3.0,Brandon,MS,United States,,Southern Miss,direct,,,,,HOU,2026-01-31T10:10:31.396577,2572,1
5135188_mlb,5135188,mlb,Aaron Walton,Aaron,Walton,OF,11,False,219.0,75.0,21.0,2004-05-14T07:00Z,3.0,Brentwood,TN,United States,,Arizona,direct,,,,,CLE,2026-01-31T10:10:31.396577,12,1
5135261_mlb,5135261,mlb,Nate Snead,Nate,Snead,SP,,False,212.0,74.0,21.0,2004-03-16T08:00Z,,Menomonee Falls,WI,United States,,Tennessee,direct,,,,,LAA,2026-01-31T10:10:31.396577,2633,1
5135468_mlb,5135468,mlb,Kaeden Kent,Kaeden,Kent,SS,,False,200.0,74.0,22.0,2003-08-29T07:00Z,0.0,Austin,TX,United States,,Texas A&M,direct,,,,,NYY,2026-01-31T10:10:31.396577,245,1
5135645_mlb,5135645,mlb,Khadim Diaw,Khadim,Diaw,C,,False,215.0,73.0,22.0,2003-08-23T07:00Z,0.0,Hoboken,NJ,United States,,Loyola Marymount,direct,,,,,MIN,2026-01-31T10:10:31.396577,2351,1
5135856_mlb,5135856,mlb,Jack Gurevitch,Jack,Gurevitch,1B,,False,215.0,72.0,21.0,2004-03-09T08:00Z,0.0,Santa Monica,CA,United States,,San Diego,direct,,,,,STL,2026-01-31T10:10:31.396577,301,1
5137915_mlb,5137915,mlb,Joe Whitman,Joe,Whitman,SP,,False,200.0,77.0,24.0,2001-09-17T07:00Z,,Hudson,OH,United States,,Kent State,direct,,,,,SF,2026-01-31T10:10:31.396577,2309,1
5139989_mlb,5139989,mlb,Nolan Schubart,Nolan,Schubart,RF,,False,223.0,77.0,21.0,2004-05-10T07:00Z,,Durand,MI,United States,,Oklahoma State,direct,,,,,CLE,2026-01-31T10:10:31.396577,197,1
5134636_mlb,5134636,mlb,Kazuma Okamoto,Kazuma,Okamoto,3B,7,True,220.0,73.0,29.0,1996-06-30T07:00Z,0.0,,,,,,,,,,,TOR,2026-01-31T10:10:31.396577,,1
5140040_mlb,5140040,mlb,Andrew Sears,Andrew,Sears,SP,,False,200.0,75.0,23.0,2002-08-30T07:00Z,,West Warwick,RI,United States,,UConn,direct,,,,,DET,2026-01-31T10:10:31.396577,41,1
5140075_mlb,5140075,mlb,Cam Maldonado,Cam,Maldonado,RF,,False,200.0,75.0,22.0,2003-11-08T08:00Z,0.0,Waterbury,CT,United States,,Northeastern,direct,,,,,SF,2026-01-31T10:10:31.396577,111,1
5140266_mlb,5140266,mlb,Trevor Cohen,Trevor,Cohen,CF,,False,195.0,73.0,22.0,2003-10-29T08:00Z,,Brigantine,NJ,United States,,Rutgers,direct,,,,,SF,2026-01-31T10:10:31.396577,164,1
5140400_mlb,5140400,mlb,Riley Kelly,Riley,Kelly,SP,,False,215.0,77.0,21.0,2004-04-21T07:00Z,,Orange,CA,United States,,UC Irvine,direct,,,,,COL,2026-01-31T10:10:31.396577,300,1
5140868_mlb,5140868,mlb,Aiden May,Aiden,May,SP,,False,196.0,74.0,22.0,2003-04-22T07:00Z,,Albuquerque,NM,United States,,Oregon State,direct,,,,,MIA,2026-01-31T10:10:31.396577,204,1
5141092_mlb,5141092,mlb,Owen Ayers,Owen,Ayers,C,44,False,185.0,74.0,24.0,2001-06-07T07:00Z,3.0,Sarasota,FL,United States,,Marshall,direct,,,,,CHC,2026-01-31T10:10:31.396577,276,1
5143560_mlb,5143560,mlb,Bryce Mayer,Bryce,Mayer,SP,,False,210.0,75.0,23.0,2002-02-11T08:00Z,0.0,Washington,MO,United States,,Missouri,direct,,,,,HOU,2026-01-31T10:10:31.396577,142,1
5145925_mlb,5145925,mlb,Konner Eaton,Konner,Eaton,P,,False,210.0,75.0,23.0,2002-11-30T08:00Z,,Disputanta,VA,United States,,George Mason,direct,,,,,COL,2026-01-31T10:10:31.396577,2244,1
5145962_mlb,5145962,mlb,Michael Salina,Michael,Salina,P,,False,215.0,73.0,22.0,2004-01-30T08:00Z,,Webster,NY,United States,,St. Bonaventure,direct,,,,,SD,2026-01-31T10:10:31.396577,179,1
5134702_mlb,5134702,mlb,Rueben Galindo,Rueben,Galindo,SP,,False,175.0,73.0,25.0,2001-01-24T08:00Z,,,,,,,,,,,,SD,2026-01-31T10:10:31.396577,,1
5134366_mlb,5134366,mlb,Antwone Kelly,Antwone,Kelly,SP,,False,183.0,70.0,22.0,2003-09-01T07:00Z,,Oranjestad,,Aruba,,,,,,,,PIT,2026-01-31T10:10:31.396577,,1
5149095_mlb,5149095,mlb,Zander Mueth,Zander,Mueth,SP,,False,205.0,78.0,20.0,2005-06-22T07:00Z,,,,,,,,,,,,PIT,2026-01-31T10:10:31.396577,,1
5129585_mlb,5129585,mlb,Aaron Combs,Aaron,Combs,SP,,False,190.0,75.0,24.0,2001-12-28T08:00Z,,Sarasota,FL,United States,,Tennessee,direct,,,,,PHI,2026-01-31T10:10:31.396577,2633,1
5128755_mlb,5128755,mlb,Connor Foley,Connor,Foley,SP,,False,235.0,77.0,22.0,2003-07-14T07:00Z,,Jasper,IN,United States,,Indiana,direct,,,,,ARI,2026-01-31T10:10:31.396577,84,1
5128973_mlb,5128973,mlb,Nestor German,Nestor,German,SP,,False,225.0,75.0,,,0.0,Seattle,WA,United States,,Seattle U,direct,,,,,BAL,2026-01-31T10:10:31.396577,2547,1
5129009_mlb,5129009,mlb,Justin Lamkin,Justin,Lamkin,P,,False,210.0,76.0,21.0,2004-06-01T07:00Z,,Corpus Christi,TX,United States,,Texas A&M,direct,,,,,KC,2026-01-31T10:10:31.396577,245,1
5129064_mlb,5129064,mlb,Yoel Tejeda Jr.,Yoel,Tejeda Jr.,P,,False,210.0,80.0,22.0,2003-07-08T07:00Z,,Davie,FL,United States,,Florida State,direct,,,,,WSH,2026-01-31T10:10:31.396577,52,1
5129135_mlb,5129135,mlb,JT Quinn,JT,Quinn,SP,,False,210.0,78.0,21.0,2004-04-22T07:00Z,,Tampa,FL,United States,,Georgia,direct,,,,,BAL,2026-01-31T10:10:31.396577,61,1
5129138_mlb,5129138,mlb,Mason Morris,Mason,Morris,P,,False,225.0,76.0,22.0,2003-08-21T07:00Z,,Tupelo,MS,United States,,Ole Miss,direct,,,,,CIN,2026-01-31T10:10:31.396577,145,1
5129508_mlb,5129508,mlb,Dominick Reid,Dominick,Reid,SP,,False,201.0,75.0,22.0,2003-11-28T08:00Z,,Plano,TX,United States,,Oklahoma State,direct,,,,,CHC,2026-01-31T10:10:31.396577,197,1
5129543_mlb,5129543,mlb,Hunter Hollan,Hunter,Hollan,SP,,False,200.0,77.0,23.0,2002-03-05T08:00Z,,Hallsville,TX,United States,,Arkansas,direct,,,,,CIN,2026-01-31T10:10:31.396577,8,1
5129576_mlb,5129576,mlb,Zach Thornton,Zach,Thornton,SP,,False,170.0,75.0,24.0,2002-01-17T08:00Z,,Winona,MN,United States,,Grand Canyon,direct,,,,,NYM,2026-01-31T10:10:31.396577,2253,1
5129727_mlb,5129727,mlb,Ryan Forcucci,Ryan,Forcucci,SP,,False,205.0,75.0,23.0,2002-12-02T08:00Z,,San Marcos,CA,United States,,UC San Diego,direct,,,,,HOU,2026-01-31T10:10:31.396577,28,1
5134148_mlb,5134148,mlb,Caden Powell,Caden,Powell,SS,,False,200.0,75.0,22.0,2003-10-24T07:00Z,,Clinton,OK,United States,,Oklahoma,direct,,,,,HOU,2026-01-31T10:10:31.396577,201,1
