uuid,id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,collegeId,is_latest
4277905_nba,4277905,nba,Trae Young,Trae,Young,G,11,True,164.0,74.0,27.0,1998-09-19T07:00Z,7.0,Lubbock,TX,USA,2018.0,Oklahoma,collegeAthlete,2018,1,5,DAL,ATL,2025-11-03T19:30:19.758355,201,1
3975_nba,3975,nba,Stephen Curry,Stephen,Curry,G,30,True,185.0,74.0,37.0,1988-03-14T08:00Z,16.0,Akron,OH,USA,2009.0,Davidson,collegeAthlete,2009,1,7,GS,GS,2025-11-03T19:30:19.758355,2166,1
3936296_nba,3936296,nba,Skal Labissiere,Skal,Labissiere,C,17,False,235.0,82.0,29.0,1996-03-18T08:00Z,4.0,Port-au-prince,,Haiti,2016.0,Kentucky,collegeAthlete,2016,1,28,PHX,WSH,2025-11-03T19:30:19.758355,96,1
4433247_nba,4433247,nba,Jonathan Kuminga,Jonathan,Kuminga,F,1,True,225.0,79.0,23.0,2002-10-06T07:00Z,4.0,Goma,,Democratic Republic of Congo,,,,2021,1,7,GS,GS,2025-11-03T19:30:19.758355,,1
4578893_nba,4578893,nba,Vit Krejci,Vit,Krejci,G,27,True,195.0,80.0,25.0,2000-06-19T07:00Z,4.0,,,Czech Republic,2020.0,,,2020,2,37,WSH,ATL,2025-11-03T19:30:19.758355,,1
4701230_nba,4701230,nba,Jalen Johnson,Jalen,Johnson,F,1,True,219.0,80.0,23.0,2001-12-18T08:00Z,4.0,Milwaukee,WI,USA,,Duke,collegeAthlete,2021,1,20,ATL,ATL,2025-11-03T19:30:19.758355,150,1
4431684_nba,4431684,nba,Trayce Jackson-Davis,Trayce,Jackson-Davis,F,32,True,245.0,81.0,25.0,2000-02-22T08:00Z,2.0,Greenwood,IN,USA,,Indiana,collegeAthlete,2023,2,57,WSH,GS,2025-11-03T19:30:19.758355,84,1
4396629_nba,4396629,nba,Nate Hinton,Nate,Hinton,G,,False,210.0,77.0,26.0,1999-06-08T07:00Z,,Gastonia,NC,USA,2020.0,Houston,collegeAthlete,,,,,MEM,2025-11-03T19:30:19.758355,248,1
2990984_nba,2990984,nba,Buddy Hield,Buddy,Hield,G,7,True,220.0,76.0,32.0,1992-12-17T08:00Z,9.0,Freeport,GB,Bahamas,2016.0,Oklahoma,collegeAthlete,2016,1,6,NO,GS,2025-11-03T19:30:19.758355,201,1
4712863_nba,4712863,nba,Mouhamed Gueye,Mouhamed,Gueye,F,18,True,210.0,83.0,22.0,2002-11-09T08:00Z,2.0,Dakar,,Senegal,,Washington State,collegeAthlete,2023,2,39,CHA,ATL,2025-11-03T19:30:19.758355,265,1
