uuid,id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,collegeId,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,is_latest
5082424_nfl,5082424,nfl,Dominic Zvada,Dominic,Zvada,PK,,True,187.0,75.0,,,0.0,Chandler,AZ,USA,,Michigan,130,collegeAthlete,,,,,NYG,2026-06-17T18:25:21.901885,1
5103940_nfl,5103940,nfl,Skyler Gill-Howard,Skyler,Gill-Howard,DT,50,True,290.0,73.0,,,0.0,Milwaukee,WI,USA,,Texas Tech,2641,collegeAthlete,2026,6,205,DET,DET,2026-06-17T18:25:21.901885,1
4693208_nfl,4693208,nfl,Patrick Gurd,Patrick,Gurd,TE,45,True,250.0,76.0,,,0.0,New Albany,OH,USA,,Cincinnati,2132,collegeAthlete,,,,,LV,2026-06-17T18:25:21.901885,1
4708238_nfl,4708238,nfl,George Gumbs Jr.,George,Gumbs Jr.,LB,,True,250.0,76.0,,,0.0,Chicago,IL,USA,,Florida,57,collegeAthlete,2026,5,156,IND,IND,2026-06-17T18:25:21.901885,1
4683463_nfl,4683463,nfl,Matt Gulbin,Matt,Gulbin,C,,True,312.0,76.0,,,0.0,Wilton,CT,USA,,Michigan State,127,collegeAthlete,2026,6,209,WSH,WSH,2026-06-17T18:25:21.901885,1
4429124_nfl,4429124,nfl,Jacobian Guillory II,Jacobian,Guillory II,DT,95,True,318.0,74.0,,,0.0,Alexandria,LA,USA,,LSU,99,collegeAthlete,,,,,LAC,2026-06-17T18:25:21.901885,1
4685375_nfl,4685375,nfl,Jaylon Guilbeau,Jaylon,Guilbeau,CB,41,True,183.0,72.0,,,0.0,Port Arthur,TX,USA,,Texas,251,collegeAthlete,,,,,CAR,2026-06-17T18:25:21.901885,1
4695400_nfl,4695400,nfl,Mark Gronowski,Mark,Gronowski,QB,16,True,235.0,74.0,,,0.0,Naperville,IL,USA,,Iowa,2294,collegeAthlete,,,,,MIA,2026-06-17T18:25:21.901885,1
4888723_nfl,4888723,nfl,Wesley Grimes,Wesley,Grimes,WR,,True,193.0,74.0,,,0.0,Raleigh,NC,USA,,NC State,152,collegeAthlete,,,,,SF,2026-06-17T18:25:21.901885,1
4879195_nfl,4879195,nfl,Garrison Grimes,Garrison,Grimes,LS,,True,220.0,74.0,,,0.0,American Fork,UT,USA,,BYU,252,collegeAthlete,,,,,NYJ,2026-06-17T18:25:21.901885,1
4431325_nfl,4431325,nfl,Taylen Green,Taylen,Green,QB,15,True,224.0,78.0,,,0.0,Lewisville,TX,USA,,Arkansas,8,collegeAthlete,2026,6,182,CLE,CLE,2026-06-17T18:25:21.901885,1
4878213_nfl,4878213,nfl,Josiah Green,Josiah,Green,DT,,True,280.0,73.0,,,0.0,Indianapolis,IN,USA,,Duke,150,collegeAthlete,,,,,TB,2026-06-17T18:25:21.901885,1
5360470_nfl,5360470,nfl,Jarrod Gray,Jarrod,Gray,OT,,True,318.0,79.0,,,0.0,,,,,,,,,,,,NYG,2026-06-17T18:25:21.901885,1
4685355_nfl,4685355,nfl,Aaron Graves,Aaron,Graves,DT,59,True,295.0,77.0,,,0.0,Dayton,IA,USA,,Iowa,2294,collegeAthlete,,,,,BAL,2026-06-17T18:25:21.901885,1
4870141_nfl,4870141,nfl,Devin Grant,Devin,Grant,S,38,True,205.0,76.0,,,0.0,Elmont,NY,USA,,Syracuse,183,collegeAthlete,,,,,LAC,2026-06-17T18:25:21.901885,1
4686142_nfl,4686142,nfl,Derrick Graham,Derrick,Graham,OT,,True,314.0,76.0,,,0.0,Lake Minneola,FL,USA,,Troy,2653,collegeAthlete,,,,,HOU,2026-06-17T18:25:21.901885,1
4431288_nfl,4431288,nfl,Monkell Goodwine,Monkell,Goodwine,DT,96,False,305.0,76.0,,,0.0,Upper Marlboro,MD,USA,,South Carolina,2579,collegeAthlete,,,,,MIN,2026-06-17T18:25:21.901885,1
4684524_nfl,4684524,nfl,Bernard Gooden,Bernard,Gooden,DT,66,False,268.0,73.0,,,0.0,Montgomery,AL,USA,,LSU,99,collegeAthlete,,,,,CLE,2026-06-17T18:25:21.901885,1
4877652_nfl,4877652,nfl,Jake Golday,Jake,Golday,LB,41,True,240.0,76.0,23.0,2003-05-23T07:00Z,0.0,Arlington,TN,USA,,Cincinnati,2132,collegeAthlete,2026,2,51,MIN,MIN,2026-06-17T18:25:21.901885,1
4686358_nfl,4686358,nfl,Isaia Glass,Isaia,Glass,OT,74,True,305.0,76.0,,,0.0,San Tan Valley,AZ,USA,,Vanderbilt,238,collegeAthlete,,,,,CAR,2026-06-17T18:25:21.901885,1
4695007_nfl,4695007,nfl,Jy Gilmore,Jy,Gilmore,CB,,True,190.0,69.0,,,0.0,Citra,FL,USA,,Georgia Tech,59,collegeAthlete,,,,,TB,2026-06-17T18:25:21.901885,1
5153072_nfl,5153072,nfl,Kapena Gushiken,Kapena,Gushiken,S,,True,185.0,72.0,,,0.0,Pukalani,HI,USA,,Ole Miss,145,collegeAthlete,,,,,PHI,2026-06-17T18:25:21.901885,1
4708490_nfl,4708490,nfl,John Michael Gyllenborg,John Michael,Gyllenborg,TE,,True,250.0,77.0,,,0.0,Leawood,KS,USA,,Wyoming,2751,collegeAthlete,,,,,KC,2026-06-17T18:25:21.901885,1
4683263_nfl,4683263,nfl,Heinrich Haarberg,Heinrich,Haarberg,TE,,False,230.0,77.0,,,0.0,Kearney,NE,USA,,Nebraska,158,collegeAthlete,,,,,CAR,2026-06-17T18:25:21.901885,1
5086529_nfl,5086529,nfl,Cody Hardy,Cody,Hardy,TE,86,True,268.0,76.0,,,0.0,Monroe,NC,USA,,NC State,152,collegeAthlete,,,,,NO,2026-06-17T18:25:21.901885,1
4611995_nfl,4611995,nfl,Jamal Haynes,Jamal,Haynes,RB,24,True,190.0,69.0,,,0.0,Loganville,GA,USA,,Georgia Tech,59,collegeAthlete,,,,,CIN,2026-06-17T18:25:21.901885,1
4606713_nfl,4606713,nfl,Brandon Hayes,Brandon,Hayes,WR,,False,205.0,74.0,,,0.0,Hattiesburg,MS,USA,,SE Louisiana,2545,collegeAthlete,,,,,PHI,2026-06-17T18:25:21.901885,1
