uuid,id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,collegeId,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,is_latest
5393_nhl,5393,nhl,Andrew Agozzino,Andrew,Agozzino,LW,36,True,187.0,70.0,34.0,1991-01-03T08:00Z,3.0,Kleinburg,ON,CAN,2014.0,,,,,,,,UTA,2025-11-03T19:18:11.087566,1
5291984_nhl,5291984,nhl,Daniil Prokhorov,Daniil,Prokhorov,RW,,False,218.0,78.0,18.0,2007-04-27T07:00Z,,Krasnodar,,RUS,,,,,2025.0,2.0,42.0,NYI,NYI,2025-10-11T22:13:50.013680,1
5239163_nhl,5239163,nhl,Matyas Melovsky,Matyas,Melovsky,C,83.0,False,190.0,73.0,21.0,2004-05-25T07:00Z,,Zlin,,Czechoslovakia,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188322_nhl,5188322,nhl,Jakub Malek,Jakub,Malek,G,85.0,False,170.0,76.0,23.0,2002-04-11T07:00Z,,,,,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188354_nhl,5188354,nhl,Cam Squires,Cam,Squires,RW,77.0,False,165.0,72.0,20.0,2005-04-11T07:00Z,,Charlottetown,PE,CAN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188345_nhl,5188345,nhl,Artem Barabosha,Artem,Barabosha,C,,False,,,,,,,,,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188337_nhl,5188337,nhl,Charlie Leddy,Charlie,Leddy,C,,False,188.0,74.0,,,,Fairfield,CT,USA,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188333_nhl,5188333,nhl,Cole Brown,Cole,Brown,C,,False,,,,,,,,,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188332_nhl,5188332,nhl,Viktor Hurtig,Viktor,Hurtig,C,,False,197.0,78.0,,,,Avesta,,SWE,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188330_nhl,5188330,nhl,Daniil Karpovich,Daniil,Karpovich,C,,False,,,,,,,,,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5238077_nhl,5238077,nhl,Xavier Parent,Xavier,Parent,C,67.0,False,170.0,68.0,24.0,2001-03-23T08:00Z,,Laval,QC,CAN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5173110_nhl,5173110,nhl,Jeremy Hanzel,Jeremy,Hanzel,D,56.0,False,190.0,72.0,22.0,2003-02-27T08:00Z,1.0,Burnaby,BC,CAN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5104134_nhl,5104134,nhl,Daniil Orlov,Daniil,Orlov,C,,False,180.0,74.0,21.0,2003-12-21T08:00Z,,Elektrostal,,RUS,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5173106_nhl,5173106,nhl,Josh Filmon,Josh,Filmon,LW,89.0,False,159.0,73.0,21.0,2004-03-18T08:00Z,,Winnipeg,MB,CAN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5144058_nhl,5144058,nhl,Georgi Romanov,Georgi,Romanov,G,31.0,False,207.0,77.0,25.0,1999-12-15T08:00Z,,Yekaterinburg,,USSR,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5136663_nhl,5136663,nhl,Brian Carrabes,Brian,Carrabes,C,,False,172.0,68.0,,,,North Reading,MA,USA,,Minnesota State,2364.0,direct,,,,,NJ,2025-10-11T22:13:50.013680,1
5104750_nhl,5104750,nhl,Jack Malone,Jack,Malone,RW,41.0,False,196.0,73.0,24.0,2000-10-13T07:00Z,,Spring Lake,NJ,USA,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5104216_nhl,5104216,nhl,Samu Salminen,Samu,Salminen,C,,False,205.0,74.0,22.0,2003-04-09T07:00Z,,Helsinki,,FIN,,,,,2021.0,3.0,68.0,NJ,NJ,2025-10-11T22:13:50.013680,1
5104202_nhl,5104202,nhl,Tyler Brennan,Tyler,Brennan,G,51.0,False,180.0,76.0,22.0,2003-09-27T07:00Z,,Winnipeg,MB,CAN,,,,,2022.0,4.0,102.0,NJ,NJ,2025-10-11T22:13:50.013680,1
5310492_nhl,5310492,nhl,Gustav Hillstrom,Gustav,Hillstrom,C,,False,174.0,74.0,18.0,2007-01-20T08:00Z,,Gavle,,SWE,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188353_nhl,5188353,nhl,Aleksi Malinen,Aleksi,Malinen,C,,False,,,,,,,,,,,,,,,,,NYI,2025-10-11T22:13:50.013680,1
5206657_nhl,5206657,nhl,Joey Larson,Joey,Larson,RW,,False,196.0,73.0,,,,Brighton,MI,USA,,Michigan State,127.0,direct,,,,,NYI,2025-10-11T22:13:50.013680,1
5310491_nhl,5310491,nhl,James Thomas Dowd,James Thomas,Dowd,D,,False,191.0,69.0,25.0,2000-07-09T07:00Z,,Point Pleasant Beach,NJ,USA,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5291952_nhl,5291952,nhl,Victor Eklund,Victor,Eklund,LW,,False,170.0,71.0,19.0,2006-10-03T07:00Z,,Stockholm,,SWE,,,,,2025.0,1.0,16.0,NYI,NYI,2025-10-11T22:13:50.013680,1
5188324_nhl,5188324,nhl,Justin Gill,Justin,Gill,C,,False,,,,,,,,,,,,,,,,,NYI,2025-10-11T22:13:50.013680,1
4587946_nhl,4587946,nhl,Grant Hutton,Grant,Hutton,D,34.0,False,205.0,75.0,30.0,1995-07-25T07:00Z,,Carmel,IN,USA,,Miami (OH),193.0,direct,,,,,NYI,2025-10-11T22:13:50.013680,1
4392449_nhl,4392449,nhl,Fredrik Karlstrom,Fredrik,Karlstrom,C,46.0,False,195.0,75.0,27.0,1998-01-12T08:00Z,,Stockholm,,SWE,,,,,,,,,NYI,2025-10-11T22:13:50.013680,1
2557840_nhl,2557840,nhl,Keith Kinkaid,Keith,Kinkaid,G,,False,186.0,75.0,36.0,1989-07-04T07:00Z,5.0,Farmingville,NY,USA,2013.0,Union,2785.0,direct,,,,,NYI,2025-10-11T22:13:50.013680,1
4419743_nhl,4419743,nhl,Tyce Thompson,Tyce,Thompson,RW,57.0,False,171.0,73.0,26.0,1999-07-12T07:00Z,,Calgary,AB,CAN,2021.0,Providence,2507.0,direct,2019.0,4.0,96.0,NJ,NYI,2025-10-11T22:13:50.013680,1
4587814_nhl,4587814,nhl,Ruslan Iskhakov,Ruslan,Iskhakov,C,37.0,False,152.0,68.0,25.0,2000-07-22T07:00Z,,Moscow,,RUS,,,,,,,,,NYI,2025-10-11T22:13:50.013680,1
4233881_nhl,4233881,nhl,Robin Salo,Robin,Salo,D,2.0,False,189.0,73.0,26.0,1998-10-13T07:00Z,,Espoo,,FIN,2017.0,,,,2017.0,2.0,46.0,NYI,NYI,2025-10-11T22:13:50.013680,1
3652602_nhl,3652602,nhl,Karson Kuhlman,Karson,Kuhlman,C,46.0,False,184.0,70.0,30.0,1995-09-26T07:00Z,5.0,Esko,MN,USA,2019.0,Minnesota Duluth,134.0,direct,,,,,NYI,2025-10-11T22:13:50.013680,1
3042274_nhl,3042274,nhl,Brian Pinho,Brian,Pinho,C,51.0,False,191.0,73.0,30.0,1995-05-11T07:00Z,,Beverly,MA,USA,2013.0,Providence,2507.0,direct,2013.0,6.0,174.0,WSH,NYI,2025-10-11T22:13:50.013680,1
3689_nhl,3689,nhl,Cal Clutterbuck,Cal,Clutterbuck,RW,15.0,False,215.0,71.0,37.0,1987-11-18T08:00Z,17.0,Welland,ON,CAN,2007.0,,,,2006.0,3.0,72.0,MIN,NYI,2025-10-11T22:13:50.013680,1
3601768_nhl,3601768,nhl,Nikita Soshnikov,Nikita,Soshnikov,RW,41.0,False,185.0,71.0,31.0,1993-10-14T07:00Z,5.0,Nizhny Tagil,,RUS,2016.0,,,,,,,,NYI,2025-10-11T22:13:50.013680,1
5310496_nhl,5310496,nhl,David Rozsival,David,Rozsival,RW,,False,188.0,73.0,18.0,2007-06-01T07:00Z,,Jablonec Nad Nisou,,Czechoslovakia,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5310495_nhl,5310495,nhl,Kasper Pikkarainen,Kasper,Pikkarainen,RW,,False,194.0,75.0,19.0,2006-08-07T07:00Z,,Helsinki,,FIN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5310494_nhl,5310494,nhl,Mason Moe,Mason,Moe,C,,False,187.0,74.0,18.0,2007-03-26T07:00Z,,Edina,MN,USA,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5310493_nhl,5310493,nhl,Sigge Holmgren,Sigge,Holmgren,D,,False,186.0,73.0,18.0,2007-01-10T08:00Z,,Helsingborg,,SWE,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5188321_nhl,5188321,nhl,Chase Cheslock,Chase,Cheslock,C,,False,,,,,,,,,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
5103688_nhl,5103688,nhl,Mikael Diotte,Mikael,Diotte,D,55.0,False,205.0,75.0,22.0,2003-04-10T07:00Z,,Sainte-Julie,QC,CAN,,,,,,,,,NJ,2025-10-11T22:13:50.013680,1
