college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Abilene Christian,Abilene Christian,2000,15,nfl,acu,abilene,,,,
Adams State,Adams State,2001,2,nfl,adams st,adams st.,,,,
Adrian,Adrian,2003,1,mlb,,,,,,
Air Force,Air Force,2005,21,"nfl, nba, mlb",af,,,,,
Akron,Akron,2006,45,"nfl, nba, mlb",zips,,,,,
Alabama,Alabama,333,323,"nfl, nba, mlb",bama,,,,,
Alabama A&M,Alabama A&M,2010,11,nfl,bama a&m,alabama a and m,alabama a and m,,,
Alabama State,Alabama State,2011,29,nfl,alabama st,bama st,bama state,,,
Alabama-Huntsville,Alabama-Huntsville,2008,1,nhl,bama huntsville,alabama huntsville,,,,
Alaska,Alaska,298,1,nhl,,,,,,
Albany State,Albany State,2013,2,nfl,albany st,,,,,
Alberta,Alberta,2763,2,"nfl, nhl",,,,,,
Albion,Albion,2790,1,nfl,,,,,,
Albright,Albright,2015,1,mlb,,,,,,
Alcorn State,Alcorn State,2016,26,"nfl, mlb",alcorn st,,,,,
Allegheny,Allegheny,2018,1,nfl,,,,,,
American International,American International,2022,2,nfl,american,,,,,
Anderson (IN),Anderson (IN),2023,1,nfl,anderson indiana,anderson in,anderson,,,
Anderson (SC),Anderson (SC),380,4,nfl,anderson south carolina,anderson sc,anderson,,,
Angelina Coll. TX (J.C.),Angelina Coll. TX (J.C.),110009,1,mlb,angelina,angelina college,angelina college tx,,,
Angelo State,Angelo State,2025,6,"nfl, mlb",angelo st,,,,,
App State,App State,2026,81,"nfl, nba, mlb",appalachian state,app st,appalachian st,,,
Aquinas,Aquinas,486,1,nfl,,,,,,
Arizona,Arizona,12,180,"nfl, nba, mlb",az,zona,,,,
Arizona State,Arizona State,9,224,"nfl, nhl, nba, mlb",arizona st,zona st,zona state,az state,az st,
Arkansas,Arkansas,8,236,"nfl, nba, mlb",ark,,,,,
Arkansas State,Arkansas State,2032,48,nfl,arkansas st,ark state,ark st,,,
Arkansas-Monticello,Arkansas-Monticello,2028,3,nfl,arkansas monticello,ark monticello,monticello,,,
Arkansas-Pine Bluff,Arkansas-Pine Bluff,2029,16,nfl,ark pine bluff,arkansas pine bluff,ark pb,arkansas pb,,
Army,Army,349,18,"nfl, mlb",,,,,,
Ashland,Ashland,308,6,"nfl, mlb",,,,,,
Assumption,Assumption,2038,3,nfl,,,,,,
Auburn,Auburn,2,279,"nfl, nba, mlb",au,,,,,
Augustana University (SD),Augustana University (SD),2043,5,nfl,augustana,augustana u,augustana univ,augustana university,,
Austin Peay,Austin Peay,2046,9,"nfl, nba, mlb",ap,a peay,austin p,,,
Azusa Pacific,Azusa Pacific,2049,6,"nfl, mlb",azusa,pacific,,,,
BYU,BYU,252,118,"nfl, nba, mlb",brigham young university,brigham young,,,,
Bacone College,Bacone College,487,2,"nfl, mlb",bacone,,,,,
Baker University,Baker University,488,1,nfl,baker,,,,,
Baldwin-Wallace,Baldwin-Wallace,188,1,nfl,baldwin wallace,baldwin,wallace,,,
Ball State,Ball State,2050,48,"nfl, mlb",ball st,,,,,
Barber-Scotia College,Barber-Scotia College,489,1,nfl,barber scotia,barber scotia college,,,,
Barry University,Barry University,2053,4,"nfl, mlb",barry,barry u,,,,
Barton College,Barton College,2054,1,nfl,barton,,,,,
Baylor,Baylor,239,175,"nfl, nba, mlb",baylor university,,,,,
Bellarmine,Bellarmine,91,1,mlb,,,,,,
Bellevue CC WA,Bellevue CC WA,110022,1,mlb,bellevue,,,,,
Belmont,Belmont,2057,6,"nba, mlb",,,,,,
Belmont Abbey,Belmont Abbey,2058,1,mlb,belmont,,,,,
Beloit College,Beloit College,266,1,nfl,beloit,,,,,
Bemidji State,Bemidji State,132,6,"nfl, nhl",bemidji,bemidji st,,,,
Benedictine College,Benedictine College,491,1,nfl,benedictine,,,,,
Bennett College,Bennett College,464,2,nfl,bennett,,,,,
Bentley,Bentley,2060,1,nfl,,,,,,
Berry College,Berry College,2757,2,"nfl, mlb",berry,,,,,
Bethel (TN),Bethel (TN),2064,2,nfl,bethel,bethel tennessee,,,,
