player_id,opta_id,fantasy_data_id,news_updated,years_exp,espn_id,birth_state,birth_date,fantasy_positions,depth_chart_order,kalshi_id,active,sportradar_id,team_abbr,player_id,stats_id,high_school,height,gsis_id,competitions,search_full_name,status,injury_start_date,search_first_name,practice_participation,sport,college,yahoo_id,oddsjam_id,birth_city,injury_status,last_name,age,metadata,swish_id,number,practice_description,pandascore_id,search_rank,full_name,rotoworld_id,weight,birth_country,team,depth_chart_position,injury_body_part,hashtag,position,first_name,team_changed_at,search_last_name,injury_notes,rotowire_id
1875,,,1759015825533.0,3.0,,,1998-05-23,,,,True,ec551b49-c8ec-4333-8765-f277f8e3291a,,1875,,,72,,[],jonathanaranda,A,,jonathan,,mlb,,,A10796503856,Tijuana,,Aranda,,"{'bat_hand': 'L', 'channel_id': '1157161524503019520', 'full_name': 'Jonathan Aranda', 'pro_debut': '2022-06-24', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T18:11:59+00:00'}",666018.0,62.0,,,,Jonathan Aranda,,215,MEX,TB,,,#jonathanaranda-MLB-TB-62,1B,Jonathan,,aranda,,17580.0
1408,,,,,,,,,,,False,16298b61-4379-49ca-928f-b36d89d7df9f,,1408,,,70,,[],andersonseverino,MIN,,anderson,,mlb,,,,Santo Domingo,,Severino,,"{'bat_hand': 'L', 'full_name': 'Anderson Severino', 'pro_debut': '2022-04-14', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-05-02T14:47:05+00:00'}",644429.0,62.0,,,,Anderson Severino,,190,DOM,CWS,,,#andersonseverino-MLB-CWS-62,RP,Anderson,,severino,,
2091,,,1747609832805.0,11.0,,HI,1990-10-10,,,,True,343e48ee-be0e-4f0d-a801-dc8cbbce75b4,,2091,,Kamehameha (HI),67,,[],koltenwong,A,,kolten,,mlb,Hawaii,,265D68E51C3B,Hilo,,Wong,,"{'bat_hand': 'L', 'full_name': 'Kolten Wong', 'pro_debut': '2013-08-16', 'rookie_year': '2013', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-09-01T21:32:02+00:00'}",543939.0,25.0,,,,Kolten Wong,,185,USA,LAD,,,#koltenwong-MLB-LAD-25,2B,Kolten,,wong,,12143.0
2508,,,1758313523050.0,4.0,,MI,1992-02-05,,,,True,2dcec70b-f79e-48f4-9641-0ef1e15cf81e,,2508,,Lowell (MI),76,,[],kalebort,D60,,kaleb,,mlb,Aquinas (MI),,51421B35811E,Grand Rapids,IL60,Ort,,"{'bat_hand': 'R', 'channel_id': '1157161659547025408', 'full_name': 'Kaleb Ort', 'pro_debut': '2021-09-13', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-19T20:08:38+00:00'}",672391.0,63.0,,,,Kaleb Ort,,248,USA,HOU,,Elbow,#kalebort-MLB-HOU-63,RP,Kaleb,,ort,Inflammation,17663.0
2199,,,,,,TN,,,,,True,875b903a-aabd-424e-b70e-1aa46a7334bc,,2199,,Blackman (TN),77,,[],davidprice,A,,david,,mlb,Vanderbilt,,,Murfreesboro,,Price,,"{'bat_hand': 'L', 'full_name': 'David Price', 'pro_debut': '2008-09-14', 'rookie_year': '2008', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-10-20T18:47:30+00:00'}",456034.0,33.0,,,,David Price,,215,USA,LAD,,,#davidprice-MLB-LAD-33,RP,David,,price,,
2881,,,1757110835877.0,2.0,,NJ,1995-03-11,,,,True,5379bbde-226a-44da-9427-fcb4c7865f4c,,2881,,Red Bank Regional (NJ),76,,[],joejacques,MIN,,joe,,mlb,Manhattan,,736FB943E0F6,Shrewsbury,,Jacques,,"{'bat_hand': 'L', 'channel_id': '1246203019167539200', 'full_name': 'Joe Jacques', 'pro_debut': '2023-06-12', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-07-03T21:24:11+00:00'}",682175.0,71.0,,,,Joe Jacques,,210,USA,SEA,,,#joejacques-MLB-SEA-71,RP,Joe,,jacques,,18828.0
2064,,,1757108435630.0,10.0,,OK,1991-11-05,,,,True,106c933c-0203-4e5a-bd06-f8bc420b9b9f,,2064,,Chandler (OK),76,,[],jongray,D60,,jon,,mlb,Oklahoma,,1F51B63A28A0,Shawnee,IL60,Gray,,"{'bat_hand': 'R', 'channel_id': '1157161613816528896', 'full_name': 'Jon Gray', 'pro_debut': '2015-08-04', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-05T21:34:52+00:00'}",592351.0,22.0,,,,Jon Gray,,225,USA,TEX,,Shoulder,#jongray-MLB-TEX-22,SP,Jon,,gray,Pinched Nerve,12937.0
1284,,,,,,MA,,,,,False,bb4708a5-8b4c-4ee9-be76-1ee4857ca834,,1284,,Tewksbury Memorial (MA),74,,[],scottoberg,D60,,scott,,mlb,UConn,,,Tewksbury,,Oberg,,"{'bat_hand': 'R', 'full_name': 'Scott Oberg', 'pro_debut': '2015-04-14', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2022-09-05T14:51:07+00:00'}",,45.0,,,,Scott Oberg,,207,USA,COL,,,#scottoberg-MLB-COL-45,RP,Scott,,oberg,,
2801,,,1758654959858.0,2.0,,TX,1996-02-27,,,,True,8a9fc50a-3f22-48ae-ba60-e55da7b31a86,,2801,,Clear Brook (TX),71,,[],coreyjulks,A,,corey,,mlb,Houston,,6751DCA75FC4,Friendswood,,Julks,,"{'bat_hand': 'R', 'channel_id': '1157161283280207872', 'full_name': 'Corey Julks', 'pro_debut': '2023-03-31', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-24T05:36:08+00:00'}",667452.0,32.0,,,,Corey Julks,,217,USA,CWS,,,#coreyjulks-MLB-CWS-32,LF,Corey,,julks,,17790.0
1073,,,1726507823833.0,12.0,,GA,1989-07-10,,,,True,19a3dd28-85dd-4ae0-969e-f4f33419ea5b,,1073,,Northgate (GA),77,,[],willsmith,A,,will,,mlb,Gulf Coast Community College,,181F45EC7D3C,Newnan,,Smith,,"{'bat_hand': 'R', 'channel_id': '1157161438335238144', 'full_name': 'Will Smith', 'pro_debut': '2012-05-23', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-10-11T14:49:27+00:00'}",519293.0,31.0,,,,Will Smith,,255,USA,KC,,,#willsmith-MLB-KC-31,RP,Will,,smith,,10906.0
