birth_country,birth_date,gsis_id,injury_notes,practice_description,search_full_name,oddsjam_id,sportradar_id,injury_body_part,team,kalshi_id,depth_chart_order,news_updated,opta_id,active,birth_city,competitions,fantasy_data_id,high_school,injury_start_date,swish_id,search_first_name,status,rotowire_id,hashtag,pandascore_id,depth_chart_position,weight,stats_id,full_name,practice_participation,birth_state,height,first_name,rotoworld_id,college,yahoo_id,search_rank,fantasy_positions,metadata,last_name,sport,team_changed_at,injury_status,team_abbr,position,player_id,espn_id,age,number,search_last_name,years_exp
,1996-04-09,,,,tylerlydon,,f9b41748-5ab8-4ff7-9fc8-ecfec9f12d4b,,,,,,,False,,[],,New Hampton (NH),,,tyler,RET,,#tylerlydon-NBA-FA,,,225,,Tyler Lydon,,,82,Tyler,,Syracuse,,,"['PF', 'SF']",{'channel_id': '1153292335149240320'},Lydon,nba,,,,PF,1875,,29.0,,lydon,2.0
,1986-09-15,,,,diontechristmas,,11612dd6-431c-486d-88aa-789f3adf8149,,,,,,,True,,[],,Samuel Fels (PA),,,dionte,FA,,#diontechristmas-NBA-FA,,,205,,Dionte Christmas,,,77,Dionte,,Temple,,,"['PG', 'SG']",{'channel_id': '1153292564640583680'},Christmas,nba,,,,SG,1408,,39.0,,christmas,1.0
,1996-03-03,,,,cameronjohnson,C9AF28084D8F,2fe5b749-7bd4-4dbc-acfb-6d675f541e37,,DEN,,1.0,1756236006460.0,,True,,[],20002289.0,Our Lady of the Sacred Heart (PA),,843005.0,cameron,ACT,4916.0,#cameronjohnson-NBA-DEN-23,,SF,210,,Cameron Johnson,,,80,Cameron,,North Carolina,,82.0,"['PF', 'SF']",{'channel_id': '1113936501550350336'},Johnson,nba,,,,PF,2091,,29.0,23.0,johnson,6.0
,2000-03-05,,,,gabebrown,,b1275a1f-6ede-44f7-b1a1-091399a6ff5a,,,,,1668158495240.0,,True,,[],,Belleville (MI),,1133816.0,gabe,FA,5748.0,#gabebrown-NBA-FA,,,215,,Gabe Brown,,,80,Gabe,,Michigan State,,,"['PF', 'SF']",{'channel_id': '1114318987795124224'},Brown,nba,,,,PF,2508,,25.0,,brown,1.0
,1993-02-07,,,,gregwhittington,,d0cb08b3-51b4-4700-9311-4e111df81d49,,,,,1617894045420.0,,True,,[],,Oakland Mills (MD),,,greg,FA,3810.0,#gregwhittington-NBA-FA,,,210,,Greg Whittington,,,80,Greg,,Georgetown,,,"['PF', 'SF']",{'channel_id': '1153292679090556928'},Whittington,nba,,,,PF,2199,,32.0,,whittington,1.0
,1998-03-12,,,,carsenedwards,,d1340a44-b873-425e-a1c6-2545a0ef8398,,,,,1657738242906.0,,True,,[],,Atascocita (TX),,945110.0,carsen,FA,4764.0,#carsenedwards-NBA-FA,,,200,,Carsen Edwards,,,71,Carsen,,Purdue,,,"['PG', 'SG']",{'channel_id': '1153292307227758592'},Edwards,nba,,,,SG,2064,,27.0,,edwards,3.0
,1990-11-26,,,,averybradley,,b23917d2-bb0d-49fa-a384-80d994561d0c,,,,,1648865720916.0,,False,,[],,Findlay Prep (NV),,513607.0,avery,RET,3112.0,#averybradley-NBA-FA,,,180,,Avery Bradley,,,75,Avery,,Texas,,,"['SF', 'SG']",{'channel_id': '1153292352975032320'},Bradley,nba,,,,SG,1284,,34.0,,bradley,12.0
,,,,,seaneast,,5ec0b4b3-dd56-434f-9f08-81e40518b327,,,,,,,True,,[],,,,,sean,FA,6347.0,#seaneast-NBA-FA,,,180,,Sean East,,,75,Sean,,Missouri,,,"['PG', 'SG']",{'channel_id': '1114062286198149120'},East,nba,,,,PG,2801,,,,east,0.0
,1984-04-17,,,,cjwatson,,7671f7d9-b7f8-4602-a32d-19f4f1ddae75,,,,,,,True,,[],,Bishop Gorman (NV),,,cj,FA,,#cjwatson-NBA-FA,,,175,,C.J. Watson,,,74,C.J.,,Tennessee,,,"['PG', 'SG']",{'channel_id': '1153292613843963904'},Watson,nba,,,,PG,1073,,41.0,,watson,10.0
,1999-01-18,,,,garytrent,E742754A7BD0,62daf16f-0c4c-46ae-9e54-0d34d6fdef85,,MIL,,1.0,1756704041507.0,,True,,[],20002027.0,Prolific Prep (CA),,1060908.0,gary,ACT,4433.0,#garytrent-NBA-MIL-5,,SG,204,,Gary Trent,,,77,Gary,,Duke,,179.0,"['SF', 'SG']",{'channel_id': '1119029907645558784'},Trent,nba,,,,SG,1982,,26.0,5.0,trent,7.0
