player_id,birth_city,depth_chart_order,height,team_changed_at,injury_body_part,depth_chart_position,search_rank,fantasy_data_id,competitions,rotowire_id,injury_status,college,stats_id,sportradar_id,active,practice_participation,practice_description,injury_notes,espn_id,swish_id,weight,player_id,years_exp,team,birth_state,team_abbr,birth_country,status,opta_id,sport,kalshi_id,gsis_id,news_updated,hashtag,birth_date,yahoo_id,fantasy_positions,last_name,metadata,number,pandascore_id,full_name,high_school,rotoworld_id,search_first_name,injury_start_date,oddsjam_id,position,age,first_name,search_last_name,search_full_name
6462,,,75,,,,9999999.0,21427.0,[],14134.0,,Georgia Southern,887183.0,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,True,,,,3926590.0,,245,6462,3.0,,,,,Active,,nfl,, 00-0035057,,#ellisrichardson-NFL-FA-45,1995-02-12,32262.0,['TE'],Richardson,{'channel_id': '1116853254748110848'},45.0,,Ellis Richardson,Douglas County,,ellis,,,TE,26.0,Ellis,richardson,ellisrichardson
11255,,,74,,,,9999999.0,,[],,,UC Davis,,55510c00-ead2-11ed-999e-03b49558b5db,True,,,,,1052592.0,306,11255,0.0,,,,,Active,,nfl,,,,#nickamoah-NFL-FA-0,,,['OL'],Amoah,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",0.0,,Nick Amoah,Davis (CA),,nick,,,OL,,Nick,amoah,nickamoah
8842,,,70,,,,9999999.0,,[],16558.0,,Army,,3c804b10-d3a8-11ec-96a0-c3471a31202c,True,,,,,1131137.0,186,8842,1.0,,,,,Injured Reserve,,nfl,,,1653351613345.0,#malkelmmorrison-NFL-FA-0,,,['DB'],Morrison,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",0.0,,Malkelm Morrison,Iona Prep (NY),,malkelm,,,CB,,Malkelm,morrison,malkelmmorrison
7926,,,74,,,,426.0,,[],15412.0,,Alabama,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,True,,,,,866047.0,250,7926,1.0,,,,,Active,,nfl,,,1631568053348.0,#carltucker-NFL-FA-0,1997-02-06,,['TE'],Tucker,{'channel_id': '1116853436709601280'},0.0,,Carl Tucker,Hough (NC),,carl,,,TE,24.0,Carl,tucker,carltucker
1875,,,74,,Neck,,216.0,16093.0,[],9380.0,Questionable,Alabama,,bf5f7564-349a-439a-a8a9-4ddb10448a8d,True,,,,16720.0,557173.0,231,1875,11.0,,,,,Active,,nfl,,00-0031296,1750349738286.0,#cjmosley-NFL-FA-57,1992-06-19,27545.0,['LB'],Mosley,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",57.0,,C.J. Mosley,Theodore (AL),9631.0,cj,,97CDFFA7FA4D,LB,32.0,C.J.,mosley,cjmosley
8478,,2.0,70,,Coach's Decision,NB,631.0,,[],16274.0,Out,Toledo,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,True,,,,,1085180.0,189,8478,3.0,TEN,,,,Active,,nfl,145c0fc1-a15b-4eee-886b-11170df2500b,,1737226242174.0,#samuelwomack-NFL-TEN-35,1999-07-07,,['DB'],Womack,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",35.0,,Samuel Womack,East English Village Prep (MI),,samuel,,0823DA35726D,CB,26.0,Samuel,womack,samuelwomack
995,,,72,,,,9999999.0,13476.0,[],7817.0,,Newberry,512802.0,e9a0297a-0b34-4c55-af1f-ca113d672195,False,,,,14297.0,,206,995,11.0,,,,,Injured Reserve,,nfl,,00-0028445,1578330037366.0,#ronparker-NFL-FA-0,1987-08-17,25090.0,['DB'],Parker,,0.0,,Ron Parker,Beaufort (SC),6811.0,ron,,,FS,34.0,Ron,parker,ronparker
1408,,,73,,,,235.0,14967.0,[],8617.0,,Michigan State,543654.0,7735c02a-ee75-447c-86e6-6c2168500050,True,,,,15825.0,543654.0,225,1408,9.0,TB,,,,Active,,nfl,,00-0030496,1707165960874.0,#leveonbell-NFL-TB-6,1992-02-18,26671.0,['RB'],Bell,{'channel_id': '1116852736248250368'},6.0,,Le'Veon Bell,Groveport Madison (OH),8390.0,leveon,,,RB,29.0,Le'Veon,bell,leveonbell
8074,,,76,,,,,,[],15785.0,,Michigan State,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,True,,,,,,252,8074,1.0,,,,,Active,,nfl,,,1629836727949.0,#mattseybert-NFL-FA-41,1997-05-02,,['TE'],Seybert,{'channel_id': '1116853462399713280'},41.0,,Matt Seybert,St. Francis (MI),,matt,,,TE,24.0,Matt,seybert,mattseybert
156,,,"5'10""",,,,9999999.0,4122.0,[],6211.0,,Louisville,229499.0,a2907a39-139b-483f-8369-e278c26a6951,False,,,,10613.0,,187,156,13.0,,,,,Inactive,,nfl,,00-0025557,1534088707204.0,#williamgay-NFL-FA-25,1985-01-01,8424.0,['DB'],Gay,,25.0,,William Gay,James R. Rickards (FL),4319.0,william,,,CB,35.0,William,gay,williamgay
