player_id,rotowire_id,opta_id,search_rank,fantasy_data_id,sport,team_changed_at,oddsjam_id,height,swish_id,high_school,birth_state,injury_start_date,news_updated,active,gsis_id,injury_status,pandascore_id,weight,team,search_full_name,stats_id,years_exp,practice_description,yahoo_id,team_abbr,status,practice_participation,full_name,search_last_name,birth_city,age,fantasy_positions,sportradar_id,rotoworld_id,birth_country,depth_chart_position,last_name,metadata,number,espn_id,college,competitions,search_first_name,injury_body_part,injury_notes,depth_chart_order,position,player_id,first_name,hashtag,birth_date,kalshi_id
1875,,,,,nhl,,,74,8476449.0,,,,,True,,,,204,STL,scottharrington,,10.0,,,,ACT,,Scott Harrington,harrington,,,,4f6c1c49-e87b-465e-9808-4d4b355c7e31,,,,Harrington,"{'birth_date': '1993-03-10', 'birth_place': 'Kingston, ON, CAN', 'college': '', 'draft_pick': '54', 'draft_round': '2', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2014'}",41.0,,,[],scott,,,,D,1875,Scott,#scottharrington-NHL-STL-41,,
1408,,,,,nhl,,,72,9014612.0,,,,,True,,,,181,CBJ,timberni,,,,,,ACT,,Tim Berni,berni,,,,b49d41cd-4e19-4876-ab9e-19b81b5511b8,,,,Berni,"{'birth_date': '2000-02-11', 'birth_place': 'Mannedorf,, CHE', 'college': '', 'draft_pick': '159', 'draft_round': '6', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}",75.0,,,[],tim,,,,D,1408,Tim,#timberni-NHL-CBJ-75,,
2091,,,,,nhl,,,76,9015427.0,,,,,True,,,,242,CHI,marcelmarcel,,,,,,ACT,,Marcel Marcel,marcel,,,,efe14379-f115-41f1-8789-ccca0b601c89,,,,Marcel,"{'birth_date': '2003-10-31', 'birth_place': 'Pilsen,, CZE', 'college': '', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",53.0,,,[],marcel,,,,LW,2091,Marcel,#marcelmarcel-NHL-CHI-53,,
2508,,,,,nhl,,,74,9013580.0,,,,,True,,,,174,CAR,noelgunler,,,,,,ACT,,Noel Gunler,gunler,,,,c6e4ac0f-9e2f-48ff-88af-6c3bb4761ebe,,,,Gunler,"{'birth_date': '2001-10-07', 'birth_place': 'Lulea,, SWE', 'channel_id': '1274303083614048256', 'college': '', 'draft_pick': '41', 'draft_round': '2', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}",38.0,,,[],noel,,,,RW,2508,Noel,#noelgunler-NHL-CAR-38,,
2199,,,,,nhl,,,68,9013469.0,,,,,True,,,,180,COL,jackahcan,,5.0,,,,ACT,,Jack Ahcan,ahcan,,,,9e13b491-909a-40da-9274-4c75908f8d53,,,,Ahcan,"{'birth_date': '1997-05-18', 'birth_place': 'Savage, MN, USA', 'channel_id': '1216502258838024192', 'college': 'St. Cloud State', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",15.0,,,[],jack,,,,D,2199,Jack,#jackahcan-NHL-COL-15,,
2881,,,,,nhl,,,71,9014812.0,,,,,True,,,,185,NYI,calleodelius,,,,,,ACT,,Calle Odelius,odelius,,,,57a187cc-149d-4f23-a1e0-4d9463cae7d7,,,,Odelius,"{'birth_date': '2004-05-30', 'birth_place': 'Nykvarn,, SWE', 'channel_id': '1274182248429518848', 'college': '', 'draft_pick': '65', 'draft_round': '2', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",39.0,,,[],calle,,,,D,2881,Calle,#calleodelius-NHL-NYI-39,,
2064,,,,,nhl,,,72,9015364.0,,,,,True,,,,182,ANA,yegorsidorov,,,,,,ACT,,Yegor Sidorov,sidorov,,,,c20528f7-dd26-4639-90e3-4e4b1ae5bc76,,,,Sidorov,"{'birth_date': '2004-06-18', 'birth_place': 'Vitebsk,, BLR', 'channel_id': '1273880368897871872', 'college': '', 'draft_pick': '85', 'draft_round': '3', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",57.0,,,[],yegor,,,,RW,2064,Yegor,#yegorsidorov-NHL-ANA-57,,
1284,,,,,nhl,,,74,8476463.0,,,,,True,,,,196,MIN,jonasbrodin,,13.0,,,,ACT,,Jonas Brodin,brodin,,,,03057f04-674c-11e2-9e6b-f4ce4684ea4c,,,,Brodin,"{'birth_date': '1993-07-12', 'birth_place': 'Karlstad,, SWE', 'channel_id': '1157131025961209856', 'college': '', 'draft_pick': '10', 'draft_round': '1', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2012'}",25.0,,,[],jonas,,,,D,1284,Jonas,#jonasbrodin-NHL-MIN-25,,
2801,,,,,nhl,,,71,,,,,,True,,,,183,NJ,timuribragimov,,,,,,ACT,,Timur Ibragimov,ibragimov,,,,0d47132f-2783-4119-beb3-0fa76b51d7e5,,,,Ibragimov,"{'birth_date': '2000-10-12', 'birth_place': 'St. Petersburg,, RUS', 'college': '', 'draft_pick': '164', 'draft_round': '6', 'draft_year': '2019', 'high_school': '', 'rookie_year': ''}",83.0,,,[],timur,,,,LW,2801,Timur,#timuribragimov-NHL-NJ-83,,
1073,,,,,nhl,,,72,9000944.0,,,,,True,,,,200,SJ,carlgrundstrom,,7.0,,,,ACT,,Carl Grundstrom,grundstrom,,,,5b0377bd-412a-44aa-8b8d-8e8eabeb290e,,,,Grundstrom,"{'birth_date': '1997-12-01', 'birth_place': 'Umea,, SWE', 'channel_id': '1157130941123022848', 'college': '', 'draft_pick': '57', 'draft_round': '2', 'draft_year': '2016', 'high_school': '', 'rookie_year': '2018'}",91.0,,,[],carl,,,,RW,1073,Carl,#carlgrundstrom-NHL-SJ-91,,
