age,years_exp,search_rank,pandascore_id,birth_country,college,espn_id,birth_date,injury_notes,search_first_name,player_id,hashtag,stats_id,news_updated,active,sport,fantasy_data_id,competitions,practice_description,yahoo_id,last_name,opta_id,birth_state,gsis_id,status,depth_chart_order,height,injury_start_date,fantasy_positions,search_full_name,high_school,sportradar_id,kalshi_id,practice_participation,team_abbr,team,oddsjam_id,rotoworld_id,birth_city,metadata,first_name,injury_status,swish_id,depth_chart_position,team_changed_at,position,search_last_name,number,full_name,weight,injury_body_part,rotowire_id
,3.0,,,MEX,,,1998-05-23,,jonathan,1875,#jonathanaranda-MLB-TB-62,,1759015825533.0,True,mlb,,[],,,Aranda,,,,A,,72,,,jonathanaranda,,ec551b49-c8ec-4333-8765-f277f8e3291a,,,,TB,A10796503856,,Tijuana,"{'bat_hand': 'L', 'channel_id': '1157161524503019520', 'full_name': 'Jonathan Aranda', 'pro_debut': '2022-06-24', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T18:11:59+00:00'}",Jonathan,,666018.0,,,1B,aranda,62.0,Jonathan Aranda,215,,17580.0
,,,,DOM,,,,,anderson,1408,#andersonseverino-MLB-CWS-62,,,False,mlb,,[],,,Severino,,,,MIN,,70,,,andersonseverino,,16298b61-4379-49ca-928f-b36d89d7df9f,,,,CWS,,,Santo Domingo,"{'bat_hand': 'L', 'full_name': 'Anderson Severino', 'pro_debut': '2022-04-14', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-05-02T14:47:05+00:00'}",Anderson,,644429.0,,,RP,severino,62.0,Anderson Severino,190,,
,11.0,,,USA,Hawaii,,1990-10-10,,kolten,2091,#koltenwong-MLB-LAD-25,,1747609832805.0,True,mlb,,[],,,Wong,,HI,,A,,67,,,koltenwong,Kamehameha (HI),343e48ee-be0e-4f0d-a801-dc8cbbce75b4,,,,LAD,265D68E51C3B,,Hilo,"{'bat_hand': 'L', 'full_name': 'Kolten Wong', 'pro_debut': '2013-08-16', 'rookie_year': '2013', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-09-01T21:32:02+00:00'}",Kolten,,543939.0,,,2B,wong,25.0,Kolten Wong,185,,12143.0
,4.0,,,USA,Aquinas (MI),,1992-02-05,Inflammation,kaleb,2508,#kalebort-MLB-HOU-63,,1758313523050.0,True,mlb,,[],,,Ort,,MI,,D60,,76,,,kalebort,Lowell (MI),2dcec70b-f79e-48f4-9641-0ef1e15cf81e,,,,HOU,51421B35811E,,Grand Rapids,"{'bat_hand': 'R', 'channel_id': '1157161659547025408', 'full_name': 'Kaleb Ort', 'pro_debut': '2021-09-13', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-19T20:08:38+00:00'}",Kaleb,IL60,672391.0,,,RP,ort,63.0,Kaleb Ort,248,Elbow,17663.0
,,,,USA,Vanderbilt,,,,david,2199,#davidprice-MLB-LAD-33,,,True,mlb,,[],,,Price,,TN,,A,,77,,,davidprice,Blackman (TN),875b903a-aabd-424e-b70e-1aa46a7334bc,,,,LAD,,,Murfreesboro,"{'bat_hand': 'L', 'full_name': 'David Price', 'pro_debut': '2008-09-14', 'rookie_year': '2008', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-10-20T18:47:30+00:00'}",David,,456034.0,,,RP,price,33.0,David Price,215,,
,2.0,,,USA,Manhattan,,1995-03-11,,joe,2881,#joejacques-MLB-SEA-71,,1757110835877.0,True,mlb,,[],,,Jacques,,NJ,,MIN,,76,,,joejacques,Red Bank Regional (NJ),5379bbde-226a-44da-9427-fcb4c7865f4c,,,,SEA,736FB943E0F6,,Shrewsbury,"{'bat_hand': 'L', 'channel_id': '1246203019167539200', 'full_name': 'Joe Jacques', 'pro_debut': '2023-06-12', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-07-03T21:24:11+00:00'}",Joe,,682175.0,,,RP,jacques,71.0,Joe Jacques,210,,18828.0
,10.0,,,USA,Oklahoma,,1991-11-05,Pinched Nerve,jon,2064,#jongray-MLB-TEX-22,,1757108435630.0,True,mlb,,[],,,Gray,,OK,,D60,,76,,,jongray,Chandler (OK),106c933c-0203-4e5a-bd06-f8bc420b9b9f,,,,TEX,1F51B63A28A0,,Shawnee,"{'bat_hand': 'R', 'channel_id': '1157161613816528896', 'full_name': 'Jon Gray', 'pro_debut': '2015-08-04', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-05T21:34:52+00:00'}",Jon,IL60,592351.0,,,SP,gray,22.0,Jon Gray,225,Shoulder,12937.0
,,,,USA,UConn,,,,scott,1284,#scottoberg-MLB-COL-45,,,False,mlb,,[],,,Oberg,,MA,,D60,,74,,,scottoberg,Tewksbury Memorial (MA),bb4708a5-8b4c-4ee9-be76-1ee4857ca834,,,,COL,,,Tewksbury,"{'bat_hand': 'R', 'full_name': 'Scott Oberg', 'pro_debut': '2015-04-14', 'rookie_year': '2015', 'status': 'D60', 'throw_hand': 'R', 'updated': '2022-09-05T14:51:07+00:00'}",Scott,,,,,RP,oberg,45.0,Scott Oberg,207,,
,2.0,,,USA,Houston,,1996-02-27,,corey,2801,#coreyjulks-MLB-CWS-32,,1758654959858.0,True,mlb,,[],,,Julks,,TX,,A,,71,,,coreyjulks,Clear Brook (TX),8a9fc50a-3f22-48ae-ba60-e55da7b31a86,,,,CWS,6751DCA75FC4,,Friendswood,"{'bat_hand': 'R', 'channel_id': '1157161283280207872', 'full_name': 'Corey Julks', 'pro_debut': '2023-03-31', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-24T05:36:08+00:00'}",Corey,,667452.0,,,LF,julks,32.0,Corey Julks,217,,17790.0
,12.0,,,USA,Gulf Coast Community College,,1989-07-10,,will,1073,#willsmith-MLB-KC-31,,1726507823833.0,True,mlb,,[],,,Smith,,GA,,A,,77,,,willsmith,Northgate (GA),19a3dd28-85dd-4ae0-969e-f4f33419ea5b,,,,KC,181F45EC7D3C,,Newnan,"{'bat_hand': 'R', 'channel_id': '1157161438335238144', 'full_name': 'Will Smith', 'pro_debut': '2012-05-23', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-10-11T14:49:27+00:00'}",Will,,519293.0,,,RP,smith,31.0,Will Smith,255,,10906.0
