gsis_id,sportradar_id,college,swish_id,fantasy_data_id,news_updated,birth_state,player_id,birth_date,height,depth_chart_order,espn_id,team,active,team_abbr,kalshi_id,practice_description,rotoworld_id,high_school,rotowire_id,competitions,status,injury_start_date,search_last_name,search_first_name,practice_participation,sport,age,years_exp,opta_id,pandascore_id,oddsjam_id,birth_city,injury_status,first_name,fantasy_positions,stats_id,birth_country,metadata,last_name,depth_chart_position,injury_body_part,hashtag,position,search_rank,team_changed_at,number,search_full_name,full_name,injury_notes,weight,yahoo_id
 00-0035057,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,Georgia Southern,,21427.0,,,6462,1995-02-12,75,,3926590.0,,True,,,,,Douglas County,14134.0,[],Active,,richardson,ellis,,nfl,26.0,3.0,,,,,,Ellis,['TE'],887183.0,,{'channel_id': '1116853254748110848'},Richardson,,,#ellisrichardson-NFL-FA-45,TE,9999999.0,,45.0,ellisrichardson,Ellis Richardson,,245,32262.0
,55510c00-ead2-11ed-999e-03b49558b5db,UC Davis,1052592.0,,,,11255,,74,,,,True,,,,,Davis (CA),,[],Active,,amoah,nick,,nfl,,0.0,,,,,,Nick,['OL'],,,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",Amoah,,,#nickamoah-NFL-FA-0,OL,9999999.0,,0.0,nickamoah,Nick Amoah,,306,
,3c804b10-d3a8-11ec-96a0-c3471a31202c,Army,1131137.0,,1653351613345.0,,8842,,70,,,,True,,,,,Iona Prep (NY),16558.0,[],Injured Reserve,,morrison,malkelm,,nfl,,1.0,,,,,,Malkelm,['DB'],,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",Morrison,,,#malkelmmorrison-NFL-FA-0,CB,9999999.0,,0.0,malkelmmorrison,Malkelm Morrison,,186,
,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,Alabama,866047.0,,1631568053348.0,,7926,1997-02-06,74,,,,True,,,,,Hough (NC),15412.0,[],Active,,tucker,carl,,nfl,24.0,1.0,,,,,,Carl,['TE'],,,{'channel_id': '1116853436709601280'},Tucker,,,#carltucker-NFL-FA-0,TE,426.0,,0.0,carltucker,Carl Tucker,,250,
00-0031296,bf5f7564-349a-439a-a8a9-4ddb10448a8d,Alabama,557173.0,16093.0,1750349738286.0,,1875,1992-06-19,74,,16720.0,,True,,,,9631.0,Theodore (AL),9380.0,[],Active,,mosley,cj,,nfl,32.0,11.0,,,97CDFFA7FA4D,,Questionable,C.J.,['LB'],,,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",Mosley,,Neck,#cjmosley-NFL-FA-57,LB,216.0,,57.0,cjmosley,C.J. Mosley,,231,27545.0
,75c1ed8d-4f05-43c1-b398-f212984b6b8b,Toledo,1085180.0,23606.0,1737226242174.0,,8478,1999-07-07,70,2.0,,TEN,True,,145c0fc1-a15b-4eee-886b-11170df2500b,,,East English Village Prep (MI),16274.0,[],Active,,womack,samuel,,nfl,26.0,3.0,,,0823DA35726D,,,Samuel,['DB'],,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",Womack,NB,,#samuelwomack-NFL-TEN-35,CB,631.0,,35.0,samuelwomack,Samuel Womack,,189,
00-0028445,e9a0297a-0b34-4c55-af1f-ca113d672195,Newberry,,13476.0,1578330037366.0,,995,1987-08-17,72,,14297.0,,False,,,,6811.0,Beaufort (SC),7817.0,[],Injured Reserve,,parker,ron,,nfl,34.0,11.0,,,,,,Ron,['DB'],512802.0,,,Parker,,,#ronparker-NFL-FA-0,FS,9999999.0,,0.0,ronparker,Ron Parker,,206,25090.0
00-0030496,7735c02a-ee75-447c-86e6-6c2168500050,Michigan State,543654.0,14967.0,1707165960874.0,,1408,1992-02-18,73,,15825.0,TB,True,,,,8390.0,Groveport Madison (OH),8617.0,[],Active,,bell,leveon,,nfl,29.0,9.0,,,,,,Le'Veon,['RB'],543654.0,,{'channel_id': '1116852736248250368'},Bell,,,#leveonbell-NFL-TB-6,RB,235.0,,6.0,leveonbell,Le'Veon Bell,,225,26671.0
,22ec09a7-6001-43b7-adf9-cf0df941ad0e,Michigan State,,,1629836727949.0,,8074,1997-05-02,76,,,,True,,,,,St. Francis (MI),15785.0,[],Active,,seybert,matt,,nfl,24.0,1.0,,,,,,Matt,['TE'],,,{'channel_id': '1116853462399713280'},Seybert,,,#mattseybert-NFL-FA-41,TE,,,41.0,mattseybert,Matt Seybert,,252,
00-0025557,a2907a39-139b-483f-8369-e278c26a6951,Louisville,,4122.0,1534088707204.0,,156,1985-01-01,"5'10""",,10613.0,,False,,,,4319.0,James R. Rickards (FL),6211.0,[],Inactive,,gay,william,,nfl,35.0,13.0,,,,,,William,['DB'],229499.0,,,Gay,,,#williamgay-NFL-FA-25,CB,9999999.0,,25.0,williamgay,William Gay,,187,8424.0
,3f95afdc-2140-424b-8250-7d4e273c2efc,UNLV,881687.0,22303.0,1721609703351.0,,7311,1997-02-21,74,,3921709.0,,True,,,,,McClymonds (CA),14902.0,[],Active,,white,javin,,nfl,27.0,4.0,,,8ADDCA292DD5,,,Javin,"['DB', 'LB']",,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",White,,,#javinwhite-NFL-FA-60,LB,9999999.0,,60.0,javinwhite,Javin White,,211,33318.0
 00-0031052,ba905b34-8412-4553-9055-3460368cc608,Clemson,560235.0,16407.0,1641345029845.0,,2091,1992-01-30,71,,16890.0,ARI,True,,,,9585.0,Allendale-Fairfax (SC),9648.0,[],Active,,breeland,bashaud,,nfl,30.0,8.0,,,,,,Bashaud,['DB'],560235.0,,{'channel_id': '1116852779298586624'},Breeland,,,#bashaudbreeland-NFL-ARI-24,CB,9999999.0,,24.0,bashaudbreeland,Bashaud Breeland,,197,27630.0
