age,years_exp,stats_id,birth_country,competitions,college,full_name,birth_date,practice_participation,depth_chart_position,rotoworld_id,pandascore_id,rotowire_id,active,fantasy_data_id,team,birth_state,weight,opta_id,search_rank,fantasy_positions,status,injury_body_part,sport,injury_notes,high_school,sportradar_id,team_changed_at,first_name,yahoo_id,gsis_id,kalshi_id,birth_city,swish_id,metadata,last_name,hashtag,search_first_name,depth_chart_order,injury_status,position,news_updated,player_id,practice_description,oddsjam_id,team_abbr,search_last_name,height,number,search_full_name,injury_start_date,espn_id
,11.0,,,[],,Scott Harrington,,,,,,,True,,OTT,,204,,,,ACT,,nhl,,,4f6c1c49-e87b-465e-9808-4d4b355c7e31,,Scott,,,,,8476449.0,"{'birth_date': '1993-03-10', 'birth_place': 'Kingston, ON, CAN', 'channel_id': '1279255835461050368', 'college': '', 'draft_pick': '54', 'draft_round': '2', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2014'}",Harrington,#scottharrington-NHL-OTT,scott,,,D,,1875,,,,harrington,74,,scottharrington,,
,,,,[],,Tim Berni,,,,,,,True,,CBJ,,181,,,,ACT,,nhl,,,b49d41cd-4e19-4876-ab9e-19b81b5511b8,,Tim,,,,,9014612.0,"{'birth_date': '2000-02-11', 'birth_place': 'Mannedorf,, CHE', 'college': '', 'draft_pick': '159', 'draft_round': '6', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}",Berni,#timberni-NHL-CBJ-75,tim,,,D,,1408,,,,berni,72,75.0,timberni,,
,,,,[],,Marcel Marcel,,,,,,,True,,CHI,,242,,,,ACT,,nhl,,,efe14379-f115-41f1-8789-ccca0b601c89,,Marcel,,,,,9015427.0,"{'birth_date': '2003-10-31', 'birth_place': 'Pilsen,, CZE', 'college': '', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Marcel,#marcelmarcel-NHL-CHI-53,marcel,,,LW,,2091,,,,marcel,76,53.0,marcelmarcel,,
,,,,[],,Noel Gunler,,,,,,,True,,CAR,,174,,,,ACT,,nhl,,,c6e4ac0f-9e2f-48ff-88af-6c3bb4761ebe,,Noel,,,,,9013580.0,"{'birth_date': '2001-10-07', 'birth_place': 'Lulea,, SWE', 'channel_id': '1274303083614048256', 'college': '', 'draft_pick': '41', 'draft_round': '2', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}",Gunler,#noelgunler-NHL-CAR-38,noel,,,RW,,2508,,,,gunler,74,38.0,noelgunler,,
,5.0,,,[],St. Cloud State,Jack Ahcan,,,,,,,True,,COL,,180,,,,ACT,,nhl,,,9e13b491-909a-40da-9274-4c75908f8d53,,Jack,,,,,9013469.0,"{'birth_date': '1997-05-18', 'birth_place': 'Savage, MN, USA', 'channel_id': '1216502258838024192', 'college': 'St. Cloud State', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",Ahcan,#jackahcan-NHL-COL-15,jack,,,D,,2199,,,,ahcan,68,15.0,jackahcan,,
,,,,[],,Calle Odelius,,,,,,,True,,NYI,,185,,,,ACT,,nhl,,,57a187cc-149d-4f23-a1e0-4d9463cae7d7,,Calle,,,,,9014812.0,"{'birth_date': '2004-05-30', 'birth_place': 'Nykvarn,, SWE', 'channel_id': '1274182248429518848', 'college': '', 'draft_pick': '65', 'draft_round': '2', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",Odelius,#calleodelius-NHL-NYI-39,calle,,,D,,2881,,,,odelius,71,39.0,calleodelius,,
,,,,[],,Yegor Sidorov,,,,,,,True,,ANA,,182,,,,ACT,,nhl,,,c20528f7-dd26-4639-90e3-4e4b1ae5bc76,,Yegor,,,,,9015364.0,"{'birth_date': '2004-06-18', 'birth_place': 'Vitebsk,, BLR', 'channel_id': '1273880368897871872', 'college': '', 'draft_pick': '85', 'draft_round': '3', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Sidorov,#yegorsidorov-NHL-ANA-57,yegor,,,RW,,2064,,,,sidorov,72,57.0,yegorsidorov,,
,13.0,,,[],,Jonas Brodin,,,,,,,True,,MIN,,196,,,,ACT,,nhl,,,03057f04-674c-11e2-9e6b-f4ce4684ea4c,,Jonas,,,,,8476463.0,"{'birth_date': '1993-07-12', 'birth_place': 'Karlstad,, SWE', 'channel_id': '1157131025961209856', 'college': '', 'draft_pick': '10', 'draft_round': '1', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2012'}",Brodin,#jonasbrodin-NHL-MIN-25,jonas,,,D,,1284,,,,brodin,74,25.0,jonasbrodin,,
,,,,[],,Timur Ibragimov,,,,,,,True,,NJ,,183,,,,ACT,,nhl,,,0d47132f-2783-4119-beb3-0fa76b51d7e5,,Timur,,,,,,"{'birth_date': '2000-10-12', 'birth_place': 'St. Petersburg,, RUS', 'college': '', 'draft_pick': '164', 'draft_round': '6', 'draft_year': '2019', 'high_school': '', 'rookie_year': ''}",Ibragimov,#timuribragimov-NHL-NJ-83,timur,,,LW,,2801,,,,ibragimov,71,83.0,timuribragimov,,
,7.0,,,[],,Carl Grundstrom,,,,,,,True,,SJ,,200,,,,ACT,,nhl,,,5b0377bd-412a-44aa-8b8d-8e8eabeb290e,,Carl,,,,,9000944.0,"{'birth_date': '1997-12-01', 'birth_place': 'Umea,, SWE', 'channel_id': '1157130941123022848', 'college': '', 'draft_pick': '57', 'draft_round': '2', 'draft_year': '2016', 'high_school': '', 'rookie_year': '2018'}",Grundstrom,#carlgrundstrom-NHL-SJ-91,carl,,,RW,,1073,,,,grundstrom,72,91.0,carlgrundstrom,,
